K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
12.07.06.2019,,,,,,19 Kuta Tengah,,
12.07.06.2020,,,,,,20 Namo Landur,,
12.07.06.2021,,,,,,21 Gunung Berita,,
12.07.06.2022,,,,,,22 Tangkahan,,
12.07.06.2023,,,,,,23 Uruk Gedang,,
12.07.06.2024,,,,,,24 Rumah Keben,,
12.07.06.2025,,,,,,25 Namo Pinang,,
12.07.06.2026,,,,,,26 Sudi Rejo,,"Perbaikan nama sesuai UU Drt No. 57 Thn 1956 dan BA No.
2826.a/BP/2017 Rapat Penyusunan dan Validasi Data Wilayah tgl 30
Okt s/d 1 Nov 2017.
Perbaikan nama desa semula Sudirejo menjadi Sudi Rejo sesuai Surat
Sekda Kab. Deli Serdang No. 138/2885 tgl 19 Agustus 2022."
12.07.06.2027,,,,,,27 Jaba,,"Perbaikan nama sesuai UU Drt No. 57 Thn 1956 dan BA No.
2826.a/BP/2017 Rapat Penyusunan dan Validasi Data Wilayah tgl 30
Okt s/d 1 Nov 2017"
12.07.06.2028,,,,,,28 Kuta Tualah,,"Perbaikan nama sesuai UU Drt No. 57 Thn 1956 dan BA No.
2826.a/BP/2017 Rapat Penyusunan dan Validasi Data Wilayah tgl 30
Okt s/d 1 Nov 2017"
12.07.06.2029,,,,,,29 Kwala Simeme,,
12.07.06.2030,,,,,,30 Batu Gemuk,,
12.07.06.2031,,,,,,31 Lau Mulgap,,"Perbaikan nama desa semula Lau Mulgab menjadi Lau Mulgap sesuai
Surat Sekda Kab. Deli Serdang No. 138/2885 tgl 19 Agustus 2022."
12.07.06.2032,,,,,,32 Batu Rejo,,
12.07.06.2033,,,,,,33 Salang Tungir,,"Perbaikan nama sesuai UU Drt No. 57 Thn 1956 dan BA No.
2826.a/BP/2017 Rapat Penyusunan dan Validasi Data Wilayah tgl 30
Okt s/d 1 Nov 2017"
12.07.06.2034,,,,,,34 Namo Mbaru,,
12.07.06.2035,,,,,,35 Rimo Mungkur,,"Perbaikan nama sesuai UU Drt No. 57 Thn 1956 dan BA No.
2826.a/BP/2017 Rapat Penyusunan dan Validasi Data Wilayah tgl 30
Okt s/d 1 Nov 2017"
12.07.06.2036,,,,,,36 Namo Mbelin,,
12.07.07,,,,7Biru-Biru,-,17,,"Perbaikan nama kec. semula Sibiru-biru menjadi Biru-Biru sesuai Surat
Sekda Kab. Deli Serdang No. 138/2885 tgl 19 Agustus 2022."
12.07.07.2001,,,,,,1 Aji Baho,,
12.07.07.2002,,,,,,2 Biru-biru,,
12.07.07.2003,,,,,,3 Candi Rejo,,
12.07.07.2004,,,,,,4 Kutomulyo,,"Perbaikan nama desa semula Kuta Mulyo menjadi Kutomulyo sesuai
Surat Sekda Kab. Deli Serdang No. 138/2885 tgl 19 Agustus 2022."
12.07.07.2005,,,,,,5 Kuala Dekah,,"Perbaikan nama sesuai UU Drt No. 57 Thn 1956 dan BA No.
2826.a/BP/2017 Rapat Penyusunan dan Validasi Data Wilayah tgl 30
Okt s/d 1 Nov 2017"
12.07.07.2006,,,,,,6 Mbaruai,,"Perbaikan nama sesuai UU Drt No. 57 Thn 1956 dan BA No.
2826.a/BP/2017 Rapat Penyusunan dan Validasi Data Wilayah tgl 30
Okt s/d 1 Nov 2017"
12.07.07.2007,,,,,,7 Mardinding Julu,,
,,,,,,,,
