K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
16,SUMATERA SELATAN,,,,,,,
16.05,KAB. MUSI RAWAS,,,14,13,186,"6.122,588","Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
16.05.01,,,,1Tugumulyo,1,17,,
16.05.01.1001,,,,,1B. Srikaton,,,
16.05.01.2002,,,,,,1 Surodadi,,
16.05.01.2003,,,,,,2 Tegal Rejo,,
16.05.01.2004,,,,,,3 Trikoyo,,
16.05.01.2005,,,,,,4 Kalibening,,
16.05.01.2006,,,,,,5 Widodo,,
16.05.01.2007,,,,,,6 Wonokerto,,
16.05.01.2008,,,,,,7 Nawangsasi,,
16.05.01.2009,,,,,,8 Sukomulyo,,
16.05.01.2010,,,,,,9 Wukirsari,,
16.05.01.2011,,,,,,10 Ngadirejo,,
16.05.01.2012,,,,,,11 Dwijaya,,
16.05.01.2013,,,,,,12 Siti Harjo,,
16.05.01.2014,,,,,,13 Mataram,,
16.05.01.2015,,,,,,14 Tambahasri,,
16.05.01.2016,,,,,,15 Wonorejo,,
16.05.01.2017,,,,,,16 Sidoharjo,,
16.05.01.2018,,,,,,17 Triwikaton,,"Pemekaran sebagian dari wil. Desa Trikoyo dan Kel. B. Srikaton Perda
25/2011"
16.05.02,,,,2Muara Lakitan,1,19,,
16.05.02.2001,,,,,,1 Tri Anggun Jaya,,
16.05.02.2002,,,,,,2 Semangus,,
16.05.02.2003,,,,,,3 Anyar,,
16.05.02.2004,,,,,,4 Muara Rengas,,
16.05.02.2005,,,,,,5 Sungai Pinang,,
16.05.02.2006,,,,,,6 Semeteh,,
16.05.02.2007,,,,,,7 Prabumulih II,,
16.05.02.2008,,,,,,8 Prabumulih I,,
16.05.02.2009,,,,,,9 Lubuk Pandan,,
16.05.02.2010,,,,,,10 Pelita Jaya,,
16.05.02.2011,,,,,,11 Sidomulyo,,
16.05.02.2012,,,,,,12 Marga Baru,,
16.05.02.2013,,,,,,13 Pendingan,,
16.05.02.2014,,,,,,14 Bumi Makmur,,
,,,,,,,,
