K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
61.04.11.2016,,,,,,16 Sepakat Jaya,,"Perda No. 15/2009, PMD"
61.04.11.2017,,,,,,17 Cegolak,,"Perda No. 15/2009, PMD"
61.04.11.2018,,,,,,18 Pateh Benteng,,"Perda No. 15/2009, PMD"
61.04.11.2019,,,,,,19 Tanjung Medan,,"Pemekaran sebagian wil Desa Pangkalan Teluk, Perda No. 17/2012"
61.04.11.2020,,,,,,20 Kayung Tuhe,,"Pemekaran sebagian wil Desa Betenung, Perda No. 17/2012"
61.04.12,,,,9Matan Hilir Selatan,-,11,,
,,,,,Kauman,,,"Menjadi wil. Kec. Benua Kayong, Perda No. 6/2003"
,,,,,Mulia Kerta,,,"Menjadi wil. Kec. Benua Kayong, Perda No. 6/2003"
,,,,,,Negeri Baru,,"Menjadi wil. Kec. Benua Kayong, Perda No. 6/2003"
,,,,,,Baru,,"Menjadi wil. Kec. Benua Kayong, Perda No. 6/2003"
,,,,,,Sungai Kinjil,,"Menjadi wil. Kec. Benua Kayong, Perda No. 6/2003"
61.04.12.2006,,,,,,1 Sungai Jawi,,
61.04.12.2007,,,,,,2 Pesaguan Kiri,,
61.04.12.2008,,,,,,3 Sungai Pelang,,
,,,,,,Padang,,"Menjadi wil. Kec. Benua Kayong, Perda No. 6/2003"
,,,,,,Suka Baru,,"Menjadi wil. Kec. Benua Kayong, Perda No. 6/2003"
,,,,,,Tuan-tuan,,"Menjadi wil. Kec. Benua Kayong, Perda No. 6/2003"
61.04.12.2012,,,,,,4 Sungai Bakau,,
61.04.12.2013,,,,,,5 Pematang Gadung,,
61.04.12.2014,,,,,,6 Pesaguan Kanan,,
61.04.12.2015,,,,,,7 Sungai Besar,,
61.04.12.2016,,,,,,8 Sungai Nanjung,,
61.04.12.2017,,,,,,9 Kemuning Biutak,,PMD
61.04.12.2018,,,,,,10 Harapan Baru,,PMD
61.04.12.2019,,,,,,11 Pagar Mentimun,,"Perda No. 5/2009, PMD"
61.04.13,,,,10Tumbang Titi,-,25,,
61.04.13.2001,,,,,,1 Tumbang Titi,,
61.04.13.2002,,,,,,2 Natai Panjang,,
61.04.13.2003,,,,,,3 Serengkah,,
61.04.13.2004,,,,,,4 Mahawa,,
61.04.13.2005,,,,,,5 Nanga Kelampai,,
61.04.13.2006,,,,,,6 Batu Tajam,,
,,,,,,Pebihingan,,"Menjadi wil. Kec. Pemahan, Perda No. 9/2005."
,,,,,,Beringin Jaya,,"Menjadi wil. Kec. Sungai Melayu Rayak, Perda No.10/2005."
61.04.13.2009,,,,,,7 Kalimas Baru,,
,,,,,,Sungai Melayu Baru,,"Menjadi wil. Kec. Sungai Melayu Rayak, Perda No.10/2005."
,,,,,,Suka Mulya,,"Menjadi wil. Kec. Sungai Melayu Rayak, Perda No.10/2005."
,,,,,,Karya Mukti,,"Menjadi wil. Kec. Sungai Melayu Rayak, Perda No.10/2005."
61.04.13.2013,,,,,,8 Pemuatan Jaya,,
,,,,,,Lalang Panjang,,"Menjadi wil. Kec. Pemahan, Perda No. 9/2005."
,,,,,,,,
