Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
19.03.40055,Pulau Sangkarikan,,"03°05'18.65"" S 106°38'47.03"" T",
19.03.40056,Pulau Seniur,,"02°50'19.00"" S 106°47'31.99"" T",
19.03.40057,Pulau Senuak Besar,,"03°05'20.83"" S 106°37'19.42"" T",
19.03.40058,Pulau Senuak Kecil,,"03°05'17.48"" S 106°37'15.20"" T",
19.03.40059,Pulau Serapung,,"02°35'06.24"" S 105°53'34.63"" T",
19.03.40060,Pulau Spetek,,"02°51'02.37"" S 107°05'30.29"" T",
19.03.40061,Pulau Tinggi,,"02°59'12.00"" S 106°42'15.99"" T",
19.04,KAB. BANGKA TENGAH,24,,
19.04.40001,Pulau Batu Belubang,,"02°10'59.22"" S 106°12'08.35"" T",
19.04.40002,Pulau Batu Buntal,,"02°11'07.03"" S 106°12'10.51"" T",
19.04.40003,Pulau Bebuar,,"02°17'01.00"" S 106°26'44.00"" T",
19.04.40004,Pulau Bedaun,,"02°23'52.29"" S 105°46'52.99"" T",
19.04.40005,Pulau Begedung,,"02°23'34.00"" S 105°45'47.00"" T",
19.04.40006,Pulau Berumput,,"02°15'24.54"" S 106°13'40.78"" T",
19.04.40007,Pulau Gusung Barat,,"02°27'15.27"" S 106°28'29.34"" T",
19.04.40008,Pulau Gusung Timur,,"02°28'42.78"" S 106°32'53.69"" T",
19.04.40009,Pulau Gusungasam,,"02°15'32.00"" S 106°21'10.00"" T",
19.04.40010,Pulau Gusunggurak,,"02°09'43.81"" S 106°15'28.69"" T",
19.04.40011,Pulau Gusungketugar,,"02°15'23.00"" S 106°23'40.99"" T",
19.04.40012,Pulau Gusungmeriam,,"02°15'10.47"" S 106°25'24.43"" T",
19.04.40013,Pulau Kelasa,,"02°24'52.99"" S 107°04'32.00"" T",
19.04.40014,Pulau Ketawai,,"02°15'56.99"" S 106°19'37.99"" T",
19.04.40015,Pulau Ketugar,,"02°15'03.55"" S 106°23'04.92"" T",
19.04.40016,Pulau Malangbegedung,,"02°23'13.28"" S 105°45'43.00"" T",
19.04.40017,Pulau Malangpelepes,,"02°23'16.82"" S 105°44'48.37"" T",
19.04.40018,Pulau Nangka,,"02°24'32.00"" S 105°47'35.00"" T",
19.04.40019,Pulau Panjang,,"02°09'14.00"" S 106°16'23.99"" T",
19.04.40020,Pulau Pelepes,,"02°23'17.00"" S 105°45'05.00"" T",
19.04.40021,Pulau Semujur,,"02°09'20.00"" S 106°17'46.00"" T",
19.04.40022,Pulau Tikus,,"02°23'53.99"" S 105°46'14.00"" T",
19.04.40023,Pulau Tukungkelasa Darat,,"02°24'42.99"" S 107°02'49.99"" T",
19.04.40024,Pulau Tukungkelasa Laut,,"02°27'56.99"" S 106°58'12.00"" T",
19.05,KAB. BANGKA BARAT,81,,
19.05.40001,Pulau Asau,,"01°33'30.88"" S 105°32'33.75"" T",
19.05.40002,Pulau Bangau,,"01°33'05.27"" S 105°36'16.77"" T",
19.05.40003,Pulau Batu Lukut,,"01°45'13.75"" S 105°24'22.85"" T",
19.05.40004,Pulau Batuakek,,"01°33'58.90"" S 105°27'11.39"" T",
19.05.40005,Pulau Batualoy,,"01°32'19.28"" S 105°33'50.27"" T",
19.05.40006,Pulau Batuampar,,"01°35'43.18"" S 105°25'58.60"" T",
19.05.40007,Pulau Batubangali,,"01°33'09.55"" S 105°36'12.70"" T",
