NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
,64,KALIMANTAN TIMUR,6,
1,64.01,KAB. PASER,8,
2,64.02,KAB. KUTAI KARTANEGARA,82,
3,64.03,KAB. BERAU,71,
4,64.07,KAB. KUTAI BARAT,15,
5,64.08,KAB. KUTAI TIMUR,22,
6,64.09,KAB. PENAJAM PASER UTARA,16,
7,64.71,KOTA BALIKPAPAN,5,
8,64.72,KOTA SAMARINDA,1,
9,64.74,KOTA BONTANG,17,
,,TOTAL,243,
