K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
71,SULAWESI UTARA,,,,,,,
71.04,KAB. KEPULAUAN TALAUD,,,19,11,142,"1.012,140","Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
71.04.01,,,,1Lirung,3,4,,
,,,,,,Bitunuris,,Menjadi wil. Kec. Lirung Selatan
,,,,,,Salibabu,,Menjadi wil. Kec. Lirung Selatan
,,,,,,Moronge,,"Menjadi wil. Kec. Moronge, Perda No. 1/2007"
,,,,,,Balang,,Menjadi wil. Kec. Lirung Selatan
71.04.01.1005,,,,,1Lirung,,,Menjadi Kel. Perda No. 12/2005
71.04.01.2006,,,,,,1 Sereh,,
71.04.01.2007,,,,,,2 Musi,,
,,,,,,Alude,,"Menjadi wil. Kec. Kalongan, Perda No.4/2006"
,,,,,,Kalongan,,"Menjadi wil. Kec. Kalongan, Perda No.4/2006"
,,,,,,Moronge Selatan,,"Menjadi wil. Kec. Moronge, Perda No. 1/2007"
71.04.01.1011,,,,,2Lirung Satu,,,Menjadi Kel. Perda No. 12/2005
,,,,,,Salibabu Utara,,Menjadi wil. Kec. Lirung Selatan
,,,,,,Dalum,,Menjadi wil. Kec. Lirung Selatan
,,,,,,Bitunuris Selatan,,Menjadi wil. Kec. Lirung Selatan
71.04.01.2015,,,,,,3 Talolang,,
,,,,,,Kalongan Selatan,,"Menjadi wil. Kec. Kalongan, Perda No.4/2006"
71.04.01.2017,,,,,,4 Sereh I,,Perda 1/2006
,,,,,,Kalongan Utara,,"Perda No. 1/2006, Menjadi wil. Kec. Kalongan, Perda No.4/2006"
,,,,,,Musi I,,"Perda No. 1/2006, Menjadi wil. Kec. Kalongan, Perda No.4/2006"
,,,,,,Moronge I,,"Perda No. 1/2006, Menjadi wil. Kec. Moronge, Perda No. 1/2007"
,,,,,,Moronge II,,"Perda No. 1/2006, Menjadi wil. Kec. Moronge, Perda No. 1/2007"
,,,,,,Moronge Selatan I,,"Perda No. 1/2006, Menjadi wil. Kec. Moronge, Perda No. 1/2007"
,,,,,,Moronge Selatan II,,"Perda No. 1/2006, Menjadi wil. Kec. Moronge, Perda No. 1/2007"
71.04.01.1024,,,,,3Lirung Matane,,,Perda No. 12/2005
71.04.02,,,,2Beo,3,3,,
,,,,,,Ruso,,"Menjadi wil. Kec. Beo Selatan, Perda No. 5/2007"
,,,,,,Niampak,,"Menjadi wil. Kec. Beo Selatan, Perda No. 5/2007"
,,,,,,Tarohan,,"Menjadi wil. Kec. Beo Selatan, Perda No. 5/2007"
,,,,,,Matahit,,"Menjadi wil. Kec. Beo Selatan, Perda No. 5/2007"
71.04.02.1005,,,,,1B e o,,,
,,,,,Makatara,,,"Menjadi wil. Kec. Beo Utara, Perda No. 1/2007"
,,,,,,Lobbo,,"Menjadi wil. Kec. Beo Utara, Perda No. 1/2007"
,,,,,,Rae,,"Menjadi wil. Kec. Beo Utara, Perda No. 1/2007"
,,,,,,Awit,,"Menjadi wil. Kec. Beo Utara, Perda No. 1/2007"
,,,,,,,,
