NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
XXXIV,92,PAPUA BARAT,,12,1,218,95,1742,99.398,1.161.028,
,92.01,1 KAB. SORONG,Sorong,,,30,26,227,7.565,124.195,"Luas Wilayah Indikatif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,92.01.01,1 Makbon,,,,,1,14,,,
,92.01.04,2 Beraur,,,,,,13,,,
,92.01.05,3 Salawati,,,,,4,3,,,
,92.01.06,4 Seget,,,,,,9,,,
,92.01.07,5 Aimas,,,,,11,3,,,
,92.01.08,6 Klamono,,,,,,10,,,
,92.01.10,7 Sayosa,,,,,,6,,,
,92.01.12,8 Segun,,,,,,9,,,
,92.01.13,9 Mayamuk,,,,,3,8,,,Perda No. 05/2005
,92.01.14,10 Salawati Selatan,,,,,,6,,,Perda No. 05/2005
,92.01.17,11 Klabot,,,,,,8,,,Perda No. 12/2007
,92.01.18,12 Klawak,,,,,,11,,,Perda No. 12/2007
,92.01.20,13 Maudus,,,,,,9,,,Perda No. 12/2007
,92.01.39,14 Mariat,,,,,7,4,,,Pemakaran Kec. Perda No. 22/2007
,92.01.40,15 Klayili,,,,,,8,,,Pemekaran Kec. Perda No. 22/2007
,92.01.41,16 Klaso,,,,,,7,,,Pemekaran Kec. Perda No. 22/2007
,92.01.42,17 Moisegen,,,,,,9,,,Pemekaran Kec. Perda No. 22/2007
,92.01.43,18 Sorong,,,,,,4,,,Pemekaran Kec. Aimas Perda No. 22/2007
,92.01.44,19 Bagun,,,,,,9,,,Pemekaran Kec. Beraur Perda No. 31/2013
,92.01.45,20 Wemak,,,,,,6,,,Pemekaran Kec. Sayosa Perda No. 32/2013
,92.01.46,21 Sunook,,,,,,7,,,Pemekaran Kec. Maudus Perda No. 33/2013
,92.01.47,22 Buk,,,,,,7,,,Pemekaran Kec. Klabot Perda No. 35/2013
,92.01.48,23 Saengkeduk,,,,,,6,,,Pemekaran Kec. Klasou Perda No. 36/2013
,92.01.49,24 Malabotom,,,,,,9,,,Pemekaran Kec. Klamono Perda No. 38/2013
,92.01.50,25 Konhir,,,,,,9,,,Pemekaran Kec. Beraur & Klawak Perda No. 39/2013
,92.01.51,26 Klasafet,,,,,,5,,,Pemekaran Kec. Klamono Perda No. 40/2013
,92.01.52,27 Hobard,,,,,,7,,,Pemekaran Kec. Klawak Perda No. 41/2013
,92.01.53,28 Salawati Tengah,,,,,,10,,,Pemekaran Kec. Salawati Selatan Perda No. 42/2013
,92.01.54,29 Botain,,,,,,5,,,Pemekaran Kec. Beraur & Klabot Perda No. 43/2013
,92.01.55,30 Sayosa Timur,,,,,,6,,,Pemekaran Kec. Sayosa Perda No. 44/2013
