K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
74.14.03.2007,,,,,,6 Watorumbe,,Semula wil. Kec. Mawasangka
74.14.03.2008,,,,,,7 Watorumbe Bata,,Perda No. 21/2005
74.14.03.2009,,,,,,8 Gundu Gundu,,Perda No. 25/2006
74.14.03.2010,,,,,,9 Katukobari,,"Pemekaran sebagian Desa Lantongau, Perda No. 39/2011"
74.14.04,,,,4Mawasangka,2,17,,"Semula wil Kab. Buton, Sesuai UU No. 15 Tahun 2014"
74.14.04.1001,,,,,1Watolo,,,
74.14.04.1002,,,,,2Mawasangka,,,
74.14.04.2003,,,,,,1 Oengkolaki,,
74.14.04.2004,,,,,,2 Banga,,
74.14.04.2005,,,,,,3 Tanailandu,,
74.14.04.2006,,,,,,4 Polindu,,
74.14.04.2007,,,,,,5 Kanapa Napa,,
74.14.04.2008,,,,,,6 Terapung,,
74.14.04.2009,,,,,,7 Wasilomata II,,
74.14.04.2010,,,,,,8 Wasilotama I,,
74.14.04.2011,,,,,,9 Matara,,
74.14.04.2012,,,,,,10 Balobone,,
74.14.04.2013,,,,,,11 Napa,,
74.14.04.2014,,,,,,12 Wakambangura,,
74.14.04.2015,,,,,,13 Kancebungi,,
74.14.04.2016,,,,,,14 Gumanano,,
74.14.04.2017,,,,,,15 Dahiango,,Perda No. 22/2005
74.14.04.2018,,,,,,16 Air Bajo,,"Pemekaran sebagian Desa Terapung, Perda No. 37/2011"
74.14.04.2019,,,,,,17 Wakambangura II,,"Pemekaran sebagian Desa Wakambangura, Perda No. 38/2011"
74.14.05,,,,5Talaga Raya,1,6,,"Semula wil Kab. Buton, Sesuai UU No. 15 Tahun 2014"
74.14.05.2001,,,,,,1 Kokoe,,
74.14.05.2002,,,,,,2 Talaga Besar,,
74.14.05.2003,,,,,,3 Talaga II,,"Perbaikan nama sesuai hasil Validasi Data Nama dan Kode Desa Ditjen
Bina Pemdes tgl 13 Juni 2016"
74.14.05.1004,,,,,1Talaga Satu,,,Menjadi Kel. Perda No. 26/2005
74.14.05.2005,,,,,,4 Wulu,,Perda No. 20/2005
74.14.05.2006,,,,,,5 Liwulompona,,"Pemekaran sebagian Desa Talaga Dua, Perda No. 40/2011"
74.14.05.2007,,,,,,6 Pangilia,,"Pemekaran sebagian Desa Talaga Dua, Perda No. 41/2011"
74.14.06,,,,6Gu,2,10,,"Semula wil Kab. Buton, Sesuai UU No. 15 Tahun 2014"
74.14.06.2001,,,,,,1 Bantea,,
74.14.06.2002,,,,,,2 Lakapera,,
74.14.06.2003,,,,,,3 Walando,,
74.14.06.1004,,,,,1Watulea,,,
74.14.06.1005,,,,,2Bombonawulu,,,
74.14.06.2006,,,,,,4 Waliko,,
,,,,,,,,
