NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,17.08.04,4 Kepahiang,,,,,7,16,,,
,17.08.05,5 Merigi,,,,,1,7,,,Perda No. 11/2005
,17.08.06,6 Kebawetan,,,,,1,14,,,Perda No. 11/2005
,17.08.07,7 Seberang Musi,,,,,,13,,,Perda No. 11/2005
,17.08.08,8 Muara Kemumu,,,,,,8,,,Perda No. 11/2005
,17.09,9 KAB. BENGKULU TENGAH,Karang Tinggi,,,11,1,142,1.132,119.599,"UU No. 24/2008.
Luas Wilayah Definitif, PGP sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,17.09.01,1 Karang Tinggi,,,,,,13,,,Semula wil. Kab. Bengkulu Utara
,17.09.02,2 Talang Empat,,,,,,10,,,Semula wil. Kab. Bengkulu Utara
,17.09.03,3 Pondok Kelapa,,,,,,17,,,Semula wil. Kab. Bengkulu Utara
,17.09.04,4 Pematang Tiga,,,,,,13,,,Semula wil. Kab. Bengkulu Utara
,17.09.05,5 Pagar Jati,,,,,,14,,,Semula wil. Kab. Bengkulu Utara
,17.09.06,6 Taba Penanjung,,,,,1,12,,,Semula wil. Kab. Bengkulu Utara
,17.09.07,7 Merigi Kelindang,,,,,,13,,,Pemekaran Kec. Perda No. 9/2011
,17.09.08,8 Merigi Sakti,,,,,,15,,,Pemekaran Kec. Perda No. 10/2011
,17.09.09,9 Pondok Kubang,,,,,,12,,,Pemekaran Kec. Perda No. 11/2011
,17.09.10,10 Bang Haji,,,,,,12,,,Pemekaran Kec. Perda No. 12/2011
,17.09.11,11 Semidang Lagan,,,,,,11,,,"Pemekaran sebagian wil Kec. Karang Tinggi, Kec. Talang Empat, dan
Kec. Taba Penanjung, Perda No. 3/2018"
,17.71,10 KOTA BENGKULU,Bengkulu,,,9,67,0,150,375.526,"Luas Wilayah Definitif, PGP sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,17.71.01,1 Selebar,,,,,6,,,,
,17.71.02,2 Gading Cempaka,,,,,5,,,,
,17.71.03,3 Teluk Segara,,,,,13,,,,
,17.71.04,4 Muara Bangka Hulu,,,,,7,,,,
,17.71.05,5 Kampung Melayu,,,,,6,,,,
,17.71.06,6 Ratu Agung,,,,,8,,,,
,17.71.07,7 Ratu Samban,,,,,9,,,,
,17.71.08,8 Sungai Serut,,,,,7,,,,
,17.71.09,9 Singaran Pati,,,,,6,,,,Pemekaran Kec. Perda No. 3/2011
