NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,61.02.16,7 Anjongan,,,,,1,4,,,Perda No. 8/2005.
,61.02.17,8 Sadaniang,,,,,,6,,,Perda No. 7/2006
,61.02.18,9 Mempawah Timur,,,,,2,6,,,Perda No. 8/2006
,61.03,3 KAB. SANGGAU,Sanggau,,,15,6,163,12.452,490.607,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,61.03.01,1 Kapuas,,,,,6,20,,,
,61.03.02,2 Mukok,,,,,,9,,,
,61.03.03,3 Noyan,,,,,,5,,,
,61.03.04,4 Jangkang,,,,,,11,,,
,61.03.05,5 Bonti,,,,,,9,,,
,61.03.06,6 Beduai,,,,,,5,,,
,61.03.07,7 Sekayam,,,,,,10,,,
,61.03.08,8 Kembayan,,,,,,11,,,
,61.03.09,9 Parindu,,,,,,14,,,
,61.03.10,10 Tayan Hulu,,,,,,11,,,
,61.03.11,11 Tayan Hilir,,,,,,15,,,
,61.03.12,12 Balai,,,,,,12,,,
,61.03.13,13 Toba,,,,,,7,,,
,,Sekadau Hilir,,,,,,,,,"Menjadi wil. Kab. Sekadau, UU No. 34 /2003."
,,Sekadau Hulu,,,,,,,,,"Menjadi wil. Kab. Sekadau, UU No. 34 /2003."
,,Nanga Taman,,,,,,,,,"Menjadi wil. Kab. Sekadau, UU No. 34 /2003."
,,Nanga Mahap,,,,,,,,,"Menjadi wil. Kab. Sekadau, UU No. 34 /2003."
,,Belitang Hilir,,,,,,,,,"Menjadi wil. Kab. Sekadau, UU No. 34 /2003."
,,Belitang Hulu,,,,,,,,,"Menjadi wil. Kab. Sekadau, UU No. 34 /2003."
,61.03.20,20 Meliau,,,,,,19,,,
,61.03.21,21 Entikong,,,,,,5,,,
,,Belitang,,,,,,,,,"Menjadi wil. Kab. Sekadau, UU No. 34 /2003."
,61.04,4 KAB. KETAPANG,Ketapang,,,20,9,253,30.019,575.579,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,61.04.01,1 Matan Hilir Utara,,,,,,5,,,
,61.04.02,2 Marau,,,,,,10,,,
,61.04.03,3 Manis Mata,,,,,,22,,,
,61.04.04,4 Kendawangan,,,,,,19,,,
,61.04.05,5 Sandai,,,,,,13,,,
,61.04.07,6 Sungai Laur,,,,,,19,,,
