K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
15,JAMBI,,,,,,,
15.05,KAB. MUARO JAMBI,,,11,5,150,"5.225,796","Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
15.05.01,,,,1Jambi Luar Kota,1,19,,
,,,,,,Pondok Meja,,
15.05.01.2002,,,,,,1 Sungai Bertam,,
15.05.01.1003,,,,,1Pijoan,,,
15.05.01.2004,,,,,,2 Pematang Jering,,
15.05.01.2005,,,,,,3 Muaro Pijoan,,
15.05.01.2006,,,,,,4 Sungai Duren,,
15.05.01.2007,,,,,,5 Mendalo Darat,,
15.05.01.2008,,,,,,6 Rengas Bandung,,
15.05.01.2009,,,,,,7 Sarang Burung,,
15.05.01.2010,,,,,,8 Mendalo Laut,,
15.05.01.2011,,,,,,9 Sembubuk,,
15.05.01.2012,,,,,,10 Senaung,,
15.05.01.2013,,,,,,11 Penyengat Olak,,
15.05.01.2014,,,,,,"12 Simpang Sungai
Duren",,
15.05.01.2015,,,,,,13 Kedemangan,,
15.05.01.2016,,,,,,14 Muhajirin,,
15.05.01.2017,,,,,,15 Maro Sebo,,
,,,,,,Suka Maju,,
15.05.01.2019,,,,,,16 Danau Sarang Elang,,"Pemekaran Desa, Perda No. 2/2009"
15.05.01.2020,,,,,,17 Simpang Limo,,"Pemekaran Desa, Perda No. 2/2009"
15.05.01.2021,,,,,,18 Mendalo Indah,,"Pemekaran Desa Mendalo Darat, Perda No. 6/2011"
15.05.01.2022,,,,,,19 Pematang Gajah,,"Pemekaran Desa Mendalo Darat, Perda No. 6/2011"
15.05.02,,,,2Sekernan,1,15,,
15.05.02.2001,,,,,,1 Suak Putat,,
15.05.02.2002,,,,,,2 Rantau Majo,,
15.05.02.2003,,,,,,3 Pulau Kayu Aro,,
15.05.02.2004,,,,,,4 Pematang Pulai,,
15.05.02.2005,,,,,,5 Tan Tan,,
15.05.02.2006,,,,,,6 Kedotan,,
15.05.02.2007,,,,,,7 Keranggan,,
15.05.02.2008,,,,,,8 Berembang,,
15.05.02.2009,,,,,,9 Sekernan,,
15.05.02.1010,,,,,1Sengeti,,,
,,,,,,,,
