NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
1,16.02,KAB. OGAN KOMERING ILIR,1,
2,16.03,KAB. MUARA ENIM,1,
3,16.07,KAB. BANYUASIN,20,
4,16.71,KOTA PALEMBANG,2,
,,TOTAL,24,
