NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
1,33.01,KAB. CILACAP,30,
2,33.05,KAB. KEBUMEN,6,
3,33.17,KAB. REMBANG,3,
4,33.20,KAB. JEPARA,32,
,,TOTAL,71,
