K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
95,PAPUA PEGUNUNGAN,,,,,,,
95.01,KAB. JAYAWIJAYA,,,40,4,328,"2.629,010","Luas Wilayah Indikatif, PBW, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
95.01.01,,,,1Wamena,,,,"Semula wil Prov. Papua; UU No. 16 Tahun 2022 tentang Pembentukan
Provinsi Papua Pegunungan"
95.01.01.1001,,,,,1Wamena Kota,,,
95.01.01.2002,,,,,,1 Honelama,,
95.01.01.2003,,,,,,2 Hulekama,,
95.01.01.2004,,,,,,3 Batu Merah,,
95.01.01.2005,,,,,,4 Autakma,,
95.01.01.1006,,,,,2Sinapuk,,,
95.01.01.1007,,,,,3Sinakma,,,
95.01.01.2008,,,,,,5 Honelama Dua,,
95.01.01.2009,,,,,,6 Honaima,,
95.01.01.2010,,,,,,7 Lanitipo,,
95.01.01.2011,,,,,,8 Wamaroma,,
95.01.02,,,,2Kurulu,,,,"Semula wil Prov. Papua; UU No. 16 Tahun 2022 tentang Pembentukan
Provinsi Papua Pegunungan"
95.01.02.2001,,,,,,1 Jiwika,,
95.01.02.2002,,,,,,2 Mulima,,
95.01.02.2003,,,,,,3 Waga-Waga,,
95.01.02.2004,,,,,,4 Abusa,,
95.01.02.2005,,,,,,5 Eragama,,
95.01.02.2006,,,,,,6 Kumima,,
95.01.02.2007,,,,,,7 Menagaima,,
95.01.02.2008,,,,,,8 Iyantik,,
95.01.02.2009,,,,,,9 Umpagalo,,
95.01.02.2010,,,,,,10 Hopama,,
95.01.02.2011,,,,,,11 Obya,,
95.01.02.2012,,,,,,12 Utkolo Satu,,
95.01.03,,,,3Asologaima,,,,"Semula wil Prov. Papua; UU No. 16 Tahun 2022 tentang Pembentukan
Provinsi Papua Pegunungan"
95.01.03.2001,,,,,,1 Kimbin,,
95.01.03.2002,,,,,,2 Walak,,
95.01.03.2003,,,,,,3 Araboda,,
95.01.03.2004,,,,,,4 Logotpaga,,
95.01.03.2005,,,,,,5 Wawanca,,
95.01.03.2006,,,,,,6 Miligatnem,,
95.01.03.2007,,,,,,7 Loki,,
,,,,,,,,
