K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
74.03.27.2014,,,,,,5 Lapadindi,,"Perbaikan nama Oeno Kandoli menjadi Lapadindi, Surat Pemprov Sultra
No. 136/1142 tgl 8 Maret 2016,surat Bup Muna No 188/2304 tgl 1
November 2019"
74.03.27.2015,,,,,,6 Oempu,,"Perbaikan nama dari Walengkabhola menjadi Oempu,Surat Pemprov
Sultra No. 136/1142 tgl 8 Maret 2016,surat Bup Muna No 188/2304 tgl
1 November 2019"
74.03.27.2016,,,,,,7 Fongkaniwa,,
74.03.27.2017,,,,,,8 Tanjung,,"Perbaikan nama dari Matano Oe menjadi Tanjung,Surat Pemprov Sultra
No. 136/1142 tgl 8 Maret 2016, Perbaikan nama sesuai Srt Ditjen
Pemdes No.145/1820/SET tgl 15 Nov 2018 hal penyampaian hasil
validasi,surat Bup Muna No 188/2304 tgl 1 November 2019"
,,,,,,Waleale,,"Menjadi wil. Kec. Tongkuno Selatan, Perda No. 5/2008"
74.03.27.2019,,,,,,9 Kotano Wuna,,
74.03.28,,,,16Pasir Putih,-,6,,
74.03.28.2001,,,,,,1 Kogholifano,,"Perbaikan nama Desa Oenggumora sesuai Surat Pemprov Sultra No.
136/1142 tgl 8 Maret 2016"
74.03.28.2002,,,,,,2 Pola,,"Perbaikan nama Desa Koholifano sesuai Surat Pemprov Sultra No.
136/1142 tgl 8 Maret 2016"
,,,,,,Kolese,,"Menjadi wil. Kec. Pasi Kolaga, Perda No. 5/2008"
,,,,,,Mata Indaha,,"Menjadi wil. Kec. Pasi Kolaga, Perda No. 5/2008"
,,,,,,Tampunabale,,"Menjadi wil. Kec. Pasi Kolaga, Perda No. 5/2008"
,,,,,,Lambelu,,"Menjadi wil. Kec. Pasi Kolaga, Perda No. 5/2008"
74.03.28.2007,,,,,,3 Kamosope,,
74.03.28.2008,,,,,,4 Liwumetingki,,
74.03.28.2009,,,,,,5 Labulawa,,
74.03.28.2010,,,,,,6 Bumbu,,
,,,,Kambowa,,,,"Menjadi wil Kab. Buton Utara, UU No. 14 Tahun 2007"
,,,,,,Bubu,,
,,,,,Lahamoko Jaya,,,
,,,,,,Morindino,,
,,,,,,Kambowa,,
,,,,,,Pongkawulu,,
,,,,,,Lagundi,,
,,,,,,Kondo,,
,,,,,,Mata,,
74.03.30,,,,17Kontu Kowuna,-,6,,
74.03.30.2001,,,,,,1 Kafo Foo,,"Semula wil. Kec. Kabawo, Perda No. 5/2008"
74.03.30.2002,,,,,,2 Lembo,,"perubahan nama dari Karoo menjadi Lembo,surat Bup Muna No
188/2304 tgl 1 November 2019,Semula wil. Kec. Kabawo, Perda No.
5/2008. Koreksi nama surat Perda 12/2014"
74.03.30.2003,,,,,,3 Kilambibito,,"Semula wil. Kec. Kabangka, Perda No. 5/2008"
74.03.30.2004,,,,,,4 Bahutara,,"Semula wil. Kec. Kabangka, Perda No. 5/2008"
74.03.30.2005,,,,,,5 Kontu Kowuna,,"Semula wil. Kec. Kabangka, Perda No. 5/2008"
,,,,,,,,
