Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
72.07.40403,Togong Boyoko,,"01°26'40.39"" S 123°15'47.28"" T",TBP
72.07.40404,Togong Boyoko Dua,,"01°26'42.52"" S 123°15'33.94"" T",TBP
72.07.40405,Togong Boyoko Satu,,"01°26'41.92"" S 123°15'38.25"" T",TBP
72.07.40406,Togong Bungin,,"01°26'28.67"" S 123°01'44.78"" T",
72.07.40407,Togong Dinggulan,,"01°30'59.14"" S 122°59'27.88"" T",
72.07.40411,Togong Kamot,,"01°33'02.62"" S 122°56'37.45"" T",
72.07.40412,Togong Kansuil,,"01°24'11.00"" S 123°09'38.99"" T",TBP
72.07.40416,Togong Lebola,,"01°36'14.87"" S 123°13'30.64"" T",
72.07.40417,Togong Lolobo,,"01°25'07.31"" S 123°02'22.94"" T",
72.07.40418,Togong Majoon,,"01°20'07.59"" S 123°06'04.94"" T",
72.07.40420,Togong Masangdang Pauno,,"01°26'19.96"" S 123°01'50.00"" T",
72.07.40421,Togong Moluko,,"01°18'56.26"" S 123°06'42.05"" T",
72.07.40422,Togong Mombus,,"01°31'59.47"" S 122°58'15.21"" T",
72.07.40423,Togong Monsolonian,,"01°20'58.63"" S 123°05'30.65"" T",
72.07.40424,Togong Mosua,,"01°31'43.28"" S 122°46'50.01"" T",
72.07.40425,Togong Mumul,,"01°37'00.08"" S 123°11'52.67"" T",
72.07.40426,Togong Nitu,,"01°36'14.05"" S 123°13'50.04"" T",
72.07.40427,Togong Ohani,,"01°20'04.75"" S 123°06'07.68"" T",
72.07.40429,Togong Osio,,"01°20'58.71"" S 123°05'30.79"" T",
72.07.40430,Togong Paisukinali,,"01°32'45.14"" S 122°56'54.39"" T",
72.07.40431,Togong Pala Batu,,"01°26'27.13"" S 123°01'43.72"" T",
72.07.40433,Togong Pipidi,,"01°32'43.80"" S 122°57'07.70"" T",
72.07.40435,Togong Ponga,,"01°24'34.99"" S 123°09'09.00"" T",TBP
72.07.40436,Togong Popoisik,,"01°36'05.56"" S 123°13'41.45"" T",
72.07.40440,Togong Sali'Ing,,"01°36'05.12"" S 123°13'27.76"" T",
72.07.40441,Togong Sapitan,,"01°36'49.63"" S 123°11'39.90"" T",
72.07.40443,Togong Sawaki,,"01°35'55.00"" S 123°13'35.00"" T",TBP
72.07.40444,Togong Tandak,,"01°20'23.27"" S 123°12'28.29"" T",
72.07.40446,Togong Tetemon,,"01°33'22.70"" S 122°56'19.59"" T",
72.07.40447,Togong Tondok,,"01°32'38.00"" S 122°56'54.76"" T",
72.07.40448,Togong Totoson,,"01°34'57.16"" S 122°55'37.39"" T",
72.07.40449,Togong Tutulo,,"01°33'43.45"" S 122°56'11.89"" T",
72.07.40450,Togong Uno,,"01°16'30.00"" S 123°11'53.00"" T",TBP
72.07.40452,Togong Lalongo,,"01°29'54.01"" S 123°10'32.42"" T",
72.07.40453,Togong Tolu Selatan,,"01°29'18.25"" S 123°28'19.81"" T",
72.08,KAB. PARIGI MOUTONG,23,,
72.08.40001,Pulau Ala,,"00°18'16.45"" U 120°58'21.81"" T",TBP
72.08.40002,Pulau Bulangka,,"00°18'28.00"" U 121°15'24.00"" T",TBP
72.08.40003,Pulau Dii,,"00°27'28.00"" S 120°05'10.00"" T",TBP
72.08.40004,Pulau Dongkala,,"00°26'53.99"" S 120°04'27.99"" T",TBP
