NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,12.08.10,10 Pamatang Sidamanik,,,,,1,9,,,"Perbaikan nama kec. semula Pematang Sidamanik menjadi Pamatang
Sidamanik, sesuai:
Perda No. 9 Tahun 2002; dan
Surat Bup. Simalungun No. 146/17509/1.1.1/2022 tgl 21 September
2022."
,12.08.11,11 Tanah Jawa,,,,,1,19,,,
,12.08.12,12 Hatonduhan,,,,,,9,,,
,12.08.13,13 Dolok Panribuan,,,,,,15,,,
,12.08.14,14 Purba,,,,,1,13,,,
,12.08.15,15 Haranggaol Horisan,,,,,1,4,,,"Perbaikan nama kec. semula Haranggaol Horison menjadi Haranggaol
Horisan, sesuai:
Perda No. 9 Tahun 2002; dan
Surat Bup. Simalungun No. 146/17509/1.1.1/2022 tgl 21 September
2022."
,12.08.16,16 Girsang Sipangan Bolon,,,,,3,3,,,
,12.08.17,17 Dolok Batu Nanggar,,,,,2,14,,,
,12.08.18,18 Huta Bayu Raja,,,,,1,15,,,
,12.08.19,19 Jawa Maraja Bah Jambi,,,,,,8,,,
,12.08.20,20 Dolok Pardamean,,,,,,11,,,
,12.08.21,21 Pematang Bandar,,,,,2,11,,,
,12.08.22,22 Bandar Huluan,,,,,,10,,,
,12.08.23,23 Bandar,,,,,2,14,,,
,12.08.24,24 Bandar Masilam,,,,,,10,,,
,12.08.25,25 Silimakuta,,,,,1,6,,,
,12.08.26,26 Dolok Silou,,,,,,14,,,"Perbaikan nama kec. semula Dolok Silau menjadi Dolok Silou sesuai
Surat Sekda Kab. Deli Serdang No. 138/2885 tgl 19 Agustus 2022."
,12.08.27,27 Silou Kahean,,,,,,16,,,
,12.08.28,28 Tapian Dolok,,,,,1,10,,,
,12.08.29,29 Raya,,,,,5,12,,,
,12.08.30,30 Ujung Padang,,,,,1,19,,,
,12.08.31,31 Pamatang Silima Huta,,,,,,10,,,Perda No 11/2006
,12.08.32,32 Dolog Masagal,,,,,,10,,,"Pemekaran sebagian wil Kec.Raya dan Kec.Dolok Pardamean, sesuai
Perda No.3/2017"
,12.09,9 KAB. ASAHAN,Kisaran,,,25,27,177,3.738,791.174,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,12.09.08,1 Meranti,,,,,,7,,,
,12.09.09,2 Air Joman,,,,,1,6,,,
