K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
12.04.28,,,,8Ma'u,-,11,,Perda No. 5/2005.
12.04.28.2001,,,,,,1 Balodano,,Semula wil. Kec. Lalafitu Moi
12.04.28.2002,,,,,,2 Lewuoguru II,,"Semula wil. Kec. Lalafitu Moi, Perbaikan nama sesuai BA No.
2826.a/BP/2017 Rapat Penyusunan dan Validasi Data Wilayah tgl 30
Okt s/d 1 Nov 2017"
12.04.28.2003,,,,,,3 Sihare'o III,,Semula wil. Kec. Lalafitu Moi
12.04.28.2004,,,,,,4 Sisarahili Ma'u,,"Semula wil. Kec. Lalafitu Moi.
Perbaikan nama desa semula Sisarahilima'u menjadi Sisarahili Ma'u,
sesuai:
Perda No. 5 Tahun 2005; dan
Surat Bupati Kab. Nias No. 140/1371/DPMD/2021 tgl 16 Agustus 2021."
12.04.28.2005,,,,,,5 Lasara Siwalubanua,,"Semula wil. Kec. Lalafitu Moi.
Perbaikan nama desa semula Lasara Siwalu Banua menjadi Lasara
Siwalubanua, sesuai:
Perda No. 5 Tahun 2005; dan
Surat Bupati Kab. Nias No. 140/1371/DPMD/2021 tgl 16 Agustus 2021."
12.04.28.2006,,,,,,6 Tuhemberua,,Semula wil. Kec. Lalafitu Moi
12.04.28.2007,,,,,,7 Atualuo,,Semula wil. Kec. Lalafitu Moi
12.04.28.2008,,,,,,8 Lewa-lewa,,"Semula wil. Kec. Lalafitu Moi.
Perbaikan nama desa semula Lewa Lewa menjadi Lewa-lewa,
sesuai:
Perda No. 5 Tahun 2005; dan
Surat Bupati Kab. Nias No. 140/1371/DPMD/2021 tgl 16 Agustus 2021."
12.04.28.2009,,,,,,9 Dekha,,Semula wil. Kec. Lalafitu Moi
12.04.28.2010,,,,,,"10 Sihare'o III
Bawosalo'o Berua",,"Pemekaran sebagian Desa Sihare'o III, Perda No. 2/2012"
12.04.28.2011,,,,,,11 Sihare'o III Hilibadalu,,"Pemekaran sebagian Desa Sihare'o III, Perda No. 2/2012"
12.04.29,,,,9Somolo-molo,-,11,,Perda No. 5/2005..
12.04.29.2001,,,,,,1 Sisobawino I,,Semula wil. Kec. Lalafitu Moi
12.04.29.2002,,,,,,2 I'odano,,Semula wil. Kec. Lalafitu Moi
12.04.29.2003,,,,,,3 Huno,,Semula wil. Kec. Lalafitu Moi
12.04.29.2004,,,,,,4 Sisaratandrawa,,Semula wil. Kec. Lalafitu Moi
12.04.29.2005,,,,,,5 Somolo-molo,,"Semula wil. Kec. Lalafitu Moi.
Perbaikan nama desa semula Samolo Molo menjadi Somolo-molo,
sesuai:
Perda No. 5 Tahun 2005; dan
Surat Bupati Kab. Nias No. 140/1371/DPMD/2021 tgl 16 Agustus 2021."
12.04.29.2006,,,,,,6 Lewuoguru I,,"Semula wil. Kec. Lalafitu Moi, Perbaikan nama sesuai BA No.
2826.a/BP/2017 Rapat Penyusunan dan Validasi Data Wilayah tgl 30
Okt s/d 1 Nov 2017"
12.04.29.2007,,,,,,7 Sifaoroasi,,"Semula wil. Kec. Lalafitu Moi.
Perbaikan nama desa semula Sifaoro Asi menjadi Sifaoroasi, sesuai:
Perda No. 5 Tahun 2005; dan
Surat Bupati Kab. Nias No. 140/1371/DPMD/2021 tgl 16 Agustus 2021."
12.04.29.2008,,,,,,8 Lewuombanua,,Semula wil. Kec. Lalafitu Moi
12.04.29.2009,,,,,,9 Hiligodu Somolo-Molo,,"Pemekaran sebagian Desa Somolo-Molo, Perda No. 2/2012"
,,,,,,,,
