Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
72.06.40174,Pulau Serebingko Kecil,,"03°07'51.75"" S 122°37'37.48"" T",
72.06.40175,Pulau Sibadu,,"03°16'21.75"" S 122°23'46.41"" T",TBP
72.06.40176,Pulau Silangkuh Besar,,"03°13'59.11"" S 122°21'15.22"" T",
72.06.40177,Pulau Silangkuh Kecil,,"03°14'02.57"" S 122°21'11.18"" T",
72.06.40178,Pulau Sitaka Besar,,"03°19'27.45"" S 122°23'45.96"" T",
72.06.40179,Pulau Sitaka Darat,,"03°19'36.20"" S 122°23'40.24"" T",
72.06.40180,Pulau Sitaka Kecil,,"03°19'30.59"" S 122°23'46.17"" T",
72.06.40181,Pulau Sitaka Laut,,"03°19'41.02"" S 122°23'38.46"" T",
72.06.40182,Pulau Sombori,,"03°17'01.00"" S 122°25'36.00"" T",TBP
72.06.40183,Pulau Stagal,,"03°13'13.00"" S 122°37'59.00"" T",TBP
72.06.40184,Pulau Sumba,,"03°16'16.70"" S 122°23'45.08"" T",TBP
72.06.40185,Pulau Tadinang,,"03°01'28.99"" S 122°21'50.00"" T",TBP
72.06.40187,Pulau Tanjungpemali,,"03°15'25.51"" S 122°21'47.31"" T",TBP
72.06.40190,Pulau Tarape,,"03°19'15.89"" S 122°24'02.79"" T",TBP
72.06.40191,Pulau Taringke Utara,,"03°14'11.65"" S 122°21'43.74"" T",
72.06.40192,Pulau Telle,,"03°16'40.16"" S 122°25'26.82"" T",TBP
72.06.40193,Pulau Tengah,,"03°22'40.00"" S 122°36'15.00"" T",BP
72.06.40195,Pulau Tiga,,"03°21'45.00"" S 122°35'30.00"" T",BP
72.06.40196,Pulau Tira,,"03°16'25.00"" S 122°24'33.99"" T",TBP
72.06.40197,Pulau Toho,,"03°13'59.05"" S 122°21'41.28"" T",
72.06.40198,Pulau Tokolongsoa,,"02°53'57.73"" S 122°12'37.10"" T",
72.06.40200,Pulau Torohsamangka,,"03°05'26.50"" S 122°31'38.37"" T",
72.06.40201,Pulau Torosimane,,"03°20'28.00"" S 122°23'39.00"" T",TBP
72.06.40202,Pulau Torosimane,,"03°16'09.18"" S 122°23'44.99"" T",
72.06.40203,Pulau Torospegan,,"03°05'23.69"" S 122°31'08.60"" T",
72.06.40204,Pulau Tukoh Babagang Barat,,"03°17'16.39"" S 122°25'33.48"" T",
72.06.40205,Pulau Tukoh Babagang Selatan,,"03°17'20.60"" S 122°25'37.47"" T",
72.06.40206,Pulau Tukoh Babagang Timur,,"03°17'17.56"" S 122°25'42.17"" T",
72.06.40207,Pulau Tukoh Baloah Besar,,"03°15'52.59"" S 122°24'50.71"" T",
72.06.40208,Pulau Tukoh Baloah Kecil,,"03°15'54.51"" S 122°24'51.40"" T",
72.06.40209,Pulau Tukoh Bangau,,"03°13'41.04"" S 122°22'07.07"" T",
72.06.40210,Pulau Tukoh Bangau Besar,,"03°13'40.69"" S 122°22'05.59"" T",
72.06.40211,Pulau Tukoh Bangau Kecil,,"03°13'48.08"" S 122°22'04.32"" T",
72.06.40212,Pulau Tukoh Bokoh Besar,,"03°16'22.62"" S 122°25'17.42"" T",
72.06.40213,Pulau Tukoh Bokoh Kecil,,"03°16'22.28"" S 122°25'15.09"" T",
72.06.40214,Pulau Tukoh Burikan,,"03°15'29.57"" S 122°24'51.03"" T",
72.06.40215,Pulau Tukoh Dongkala Kecil,,"03°20'40.40"" S 122°23'47.10"" T",
72.06.40216,Pulau Tukoh Gala,,"03°14'56.85"" S 122°22'13.36"" T",
72.06.40217,Pulau Tukoh Gama Barat,,"03°15'17.70"" S 122°22'29.68"" T",
72.06.40218,Pulau Tukoh Gama Timur,,"03°14'55.14"" S 122°22'16.63"" T",
