Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
65.04.40002,Pulau Baru,,"03°37'59.57"" U 117°22'36.35"" T",TBP
65.04.40003,Pulau Baru Lumot,,"03°38'08.68"" U 117°23'10.84"" T",TBP
65.04.40004,Pulau Bengkalung,,"03°34'44.20"" U 117°19'16.91"" T",TBP
65.04.40005,Pulau Fani,,"03°26'52.27"" U 117°26'50.90"" T",TBP
65.04.40006,Pulau Gelatan,,"03°41'12.21"" U 117°20'04.99"" T",
65.04.40007,Pulau Gelatan Hilir,,"03°42'46.00"" U 117°18'54.00"" T",
65.04.40008,Pulau Gelatan Hulu,,"03°42'53.70"" U 117°18'21.60"" T",
65.04.40009,Pulau Ijab,,"03°37'19.74"" U 117°28'26.71"" T",TBP
65.04.40010,Pulau Iting-Iting Kecil,,"03°44'49.30"" U 117°47'06.40"" T",
65.04.40011,Pulau Junjung,,"03°26'53.18"" U 117°24'22.81"" T",TBP
65.04.40012,Pulau Keranggasan Barat,,"03°34'48.60"" U 117°23'21.29"" T",TBP
65.04.40013,Pulau Keranggasan Timur,,"03°34'36.57"" U 117°24'27.58"" T",TBP
65.04.40014,Pulau Linuang Bajau,,"03°42'15.90"" U 117°20'51.90"" T",
65.04.40015,Pulau Mandul,,"03°43'02.66"" U 117°35'06.88"" T",TBP
65.04.40016,Pulau Mandul Lumot,,"03°40'11.11"" U 117°43'49.07"" T",TBP
65.04.40017,Pulau Mangkasak,,"03°41'24.00"" U 117°28'12.00"" T",TBP
65.04.40018,Pulau Mangkudulis Besar,,"03°31'41.99"" U 117°19'49.00"" T",BP
65.04.40019,Pulau Mangkudulis Kecil,,"03°36'00.00"" U 117°22'48.00"" T",BP
65.04.40020,Pulau Mangkudulisbesar Barat,,"03°32'24.00"" U 117°14'24.00"" T",TBP
65.04.40021,Pulau Mensatul,,"03°39'01.23"" U 117°30'20.77"" T",TBP
65.04.40022,Pulau Perumpung Lumot,,"03°44'21.66"" U 117°47'15.83"" T",TBP
65.04.40023,Pulau Perumpung Tupar,,"03°44'52.30"" U 117°45'44.16"" T",TBP
65.04.40024,Pulau Ranggas,,"03°37'05.15"" U 117°20'46.31"" T",TBP
65.04.40025,Pulau Saka,,"03°41'21.99"" U 116°57'57.19"" T",TBP
65.04.40026,Pulau Sebidai,,"03°37'20.70"" U 116°55'08.46"" T",TBP
65.04.40027,Pulau Sebidai Selatan,,"03°36'49.70"" U 116°54'41.59"" T",TBP
65.04.40028,Pulau Sebidai Utara,,"03°38'01.68"" U 116°55'18.84"" T",TBP
65.04.40029,Pulau Sekapal,,"03°28'21.34"" U 117°20'10.48"" T",TBP
65.04.40030,Pulau Sekapal Utara,,"03°29'06.49"" U 117°19'27.70"" T",TBP
65.04.40031,Pulau Sengatok Kecil,,"03°24'08.05"" U 117°25'41.90"" T",BP
65.04.40032,Pulau Sengatok Tengah,,"03°22'19.47"" U 117°25'05.09"" T",TBP
65.04.40033,Pulau Sepunti,,"03°36'41.95"" U 117°02'59.75"" T",TBP
65.04.40034,Pulau Sesayap,,"03°37'12.30"" U 117°05'59.07"" T",TBP
65.04.40035,Pulau Sida,,"03°44'24.00"" U 117°44'24.00"" T",BP
65.04.40036,Pulau Singa,,"03°33'23.12"" U 117°24'32.86"" T",TBP
65.04.40037,Pulau Tanjungtiram,,"03°26'24.00"" U 117°15'36.00"" T",TBP
65.04.40038,Pulau Tembalang,,"03°38'23.20"" U 116°57'53.39"" T",TBP
65.04.40039,Pulau Tembangan,,"03°36'00.00"" U 117°31'48.00"" T",TBP
65.04.40040,Pulau Tempudus,,"03°38'05.36"" U 116°54'23.93"" T",TBP
65.04.40041,Pulau Tiram,,"03°28'00.25"" U 117°17'08.97"" T",TBP
