K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
61,KALIMANTAN BARAT,,,,,,,
61.09,KAB. SEKADAU,,,7,0,94,"5.979,044","Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
61.09.01,,,,1Sekadau Hilir,-,20,,
61.09.01.2001,,,,,,1 Sungai Ringin,,"Perbaikan nama sesuai Srt Ditjen Pemdes No.145/1820/SET tgl 15 Nov
2018 hal penyampaian hasil validasi"
61.09.01.2002,,,,,,2 Mungguk,,
61.09.01.2003,,,,,,3 Tanjung,,
61.09.01.2004,,,,,,4 Merapi,,
61.09.01.2005,,,,,,5 Seraras,,
61.09.01.2006,,,,,,6 Semabi,,
61.09.01.2007,,,,,,7 Seberang Kapuas,,
61.09.01.2008,,,,,,8 Landau Kodah,,
61.09.01.2009,,,,,,9 Timpuk,,
61.09.01.2010,,,,,,10 Sungai Kunyit,,
61.09.01.2011,,,,,,11 Peniti,,
61.09.01.2012,,,,,,12 Gonis Tekam,,
61.09.01.2013,,,,,,13 Tapang Semadak,,
61.09.01.2014,,,,,,14 Engkersik,,
61.09.01.2015,,,,,,15 Ensalang,,"Pemekaran sebagian wil Desa Peniti, Perda No. 8/2011"
61.09.01.2016,,,,,,16 Bokak Sebumbun,,"Pemekaran sebagian wil Desa Gonis Tekam, Perda No. 8/2011"
61.09.01.2017,,,,,,17 Selalong,,"Pemekaran sebagian wil Desa Sungai Ringin, Perda No. 8/2011"
61.09.01.2018,,,,,,18 Sempulau Indah,,"Pemekaran sebagian wil. Desa Landau Kodah, sesuai:
Perda No. 1 Tahun 2021; dan
Surat Dirjen Bina Pemdes No. 145/3066/BPD tgl 15 Juni 2022."
61.09.01.2019,,,,,,19 Tigur Jaya,,"Pemekaran sebagian wil. Desa Timpuk, sesuai:
Perda No. 2 Tahun 2021; dan
Surat Dirjen Bina Pemdes No. 145/3066/BPD tgl 15 Juni 2022."
61.09.01.2020,,,,,,20 Beringkai Raya,,"Pemekaran sebagian wil. Desa Timpuk, sesuai:
Perda No. 3 Tahun 2021; dan
Surat Dirjen Bina Pemdes No. 145/3066/BPD tgl 15 Juni 2022."
61.09.02,,,,2Sekadau Hulu,-,15,,
61.09.02.2001,,,,,,1 Rawak Hilir,,
61.09.02.2002,,,,,,2 Rawak Hulu,,
61.09.02.2003,,,,,,3 Nanga Menterap,,
61.09.02.2004,,,,,,4 Boti,,
61.09.02.2005,,,,,,5 Perongkan,,
61.09.02.2006,,,,,,6 Tinting Boyok,,
61.09.02.2007,,,,,,7 Sekonau,,
61.09.02.2008,,,,,,8 Setawar,,
,,,,,,,,
