K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
64.02.18.2004,,,,,,4 Enggelam,,
64.02.18.2005,,,,,,5 Lebak Mantan,,"Perbaikan nama sesuai Surat Pemprov Kaltim No.
414/3448/BPMPD/VI/2015 perihal Rekomendasi Perubahan status
Desa dan Pembentukan Desa Tgl 19 Juni 2015"
64.02.18.2006,,,,,,6 Lebak Cilong,,"Perbaikan nama sesuai Surat Pemprov Kaltim No.
414/3448/BPMPD/VI/2015 perihal Rekomendasi Perubahan status
Desa dan Pembentukan Desa Tgl 19 Juni 2015"
64.02.18.2007,,,,,,7 Muara Enggelam,,
64.02.19,,,,19Kota Bangun Darat,-,10,,"Pemekaran Sebagian wil. Kec. Kota Bangun sesuai Perda No. 5/2020
dan surat Gub No. 138/0203/B.PPOD.II tanggal 18 Januari 2021"
64.02.19.2001,,,,,,1 Kedang Ipil,,Semula wil. Kec. Kota Bangun.
64.02.19.2002,,,,,,2 Sedulang,,Semula wil. Kec. Kota Bangun.
64.02.19.2003,,,,,,3 Benua Baru,,Semula wil. Kec. Kota Bangun.
64.02.19.2004,,,,,,4 Kota Bangun I,,Semula wil. Kec. Kota Bangun.
64.02.19.2005,,,,,,5 Kota Bangun II,,Semula wil. Kec. Kota Bangun.
64.02.19.2006,,,,,,6 Kota Bangun III,,Semula wil. Kec. Kota Bangun.
64.02.19.2007,,,,,,7 Sumber Sari,,Semula wil. Kec. Kota Bangun.
64.02.19.2008,,,,,,8 Sari Nadi,,Semula wil. Kec. Kota Bangun.
64.02.19.2009,,,,,,9 Suka Bumi,,Semula wil. Kec. Kota Bangun.
64.02.19.2010,,,,,,10 Wonosari,,Semula wil. Kec. Kota Bangun.
64.02.20,,,,20Samboja Barat,9,1,,"Pemekaran Sebagian wil. Kec. Samboja sesuai Perda No. 6 Tahun
2020 dan Surat Gub No. 138/0203/B.PPOD.II Tanggal 18 Januari 2021"
64.02.20.1001,,,,,1Bukit Merdeka,,,Semula wil. Kec. Samboja.
64.02.20.1002,,,,,2Sungai Merdeka,,,Semula wil. Kec. Samboja.
64.02.20.1003,,,,,3Karya Merdeka,,,Semula wil. Kec. Samboja.
64.02.20.2004,,,,,,1 Tani Bhakti,,Semula wil. Kec. Samboja.
64.02.20.1005,,,,,4Amborawang Darat,,,"Semula wil. Kec. Samboja.
Perbaikan nama semula Ambarawang Darat menjadi Amborawang
Darat sesuai Surat Gub No. 138/0203/B.PPOD.II Tanggal 18 Januari
2021"
64.02.20.1006,,,,,5Argo Sari,,,Semula wil. Kec. Samboja.
64.02.20.1007,,,,,6Salok Api Darat,,,"Semula wil. Kec. Samboja.
Perbaikan nama semula Salok Api Barat menjadi Salok Api Darat
sesuai Surat Gub No. 138/0203/B.PPOD.II Tanggal 18 Januari 2021"
64.02.20.1008,,,,,7Salok Api Laut,,,Semula wil. Kec. Samboja.
64.02.20.1009,,,,,8Amborawang Laut,,,"Semula wil. Kec. Samboja.
Perbaikan Nama semula Ambarawang Laut menjadi Amborawang Laut
sesuai Surat Gub No. 138/0203/B.PPOD.II Tanggal 18 Januari 2021"
64.02.20.1010,,,,,9Margomulyo,,,Semula wil. Kec. Samboja.
