NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
XXVII,73,SULAWESI SELATAN,,21,3,313,793,2266,45.331,9.255.930,
,73.01,1 KAB. KEPULAUAN SELAYAR,Benteng,,,11,7,81,1.160,140.595,"Perubahan nama Kab PP. No. 59/2008.
Luas Wilayah Definitif, PGP sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022 (tidak
ada batas darat dengan kab/kota lainnya)."
,73.01.01,1 Benteng,,,,,3,,,,
,73.01.02,2 Bontoharu,,,,,2,6,,,
,73.01.03,3 Bontomatene,,,,,2,10,,,
,73.01.04,4 Bontomanai,,,,,,10,,,
,73.01.05,5 Bontosikuyu,,,,,,12,,,
,73.01.06,6 Pasimasunggu,,,,,,7,,,
,73.01.07,7 Pasimarannu,,,,,,8,,,
,73.01.08,8 Taka Bonerate,,,,,,9,,,
,73.01.09,9 Pasilambena,,,,,,6,,,
,73.01.10,10 Pasimasunggu Timur,,,,,,6,,,
,73.01.11,11 Buki,,,,,,7,,,Perda Nomor 16 Tahun 2007
,73.02,2 KAB. BULUKUMBA,Bulukumba,,,10,27,109,1.176,455.184,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,73.02.01,1 Gantarang,,,,,3,18,,,"Perbaikan nama kec. semula Gantorang menjadi Gantarang, sesuai:
UU No. 29 Tahun 1959; dan
Surat Sekda Kab. Bulukumba No. 140/709/Pem tgl 19 April 2022."
,73.02.02,2 Ujung Bulu,,,,,9,,,,
,73.02.03,3 Bonto Bahari,,,,,4,4,,,
,73.02.04,4 Bonto Tiro,,,,,1,12,,,
,73.02.05,5 Herlang,,,,,2,6,,,
,73.02.06,6 Kajang,,,,,2,17,,,
,73.02.07,7 Bulukumpa,,,,,3,14,,,
,73.02.08,8 Kindang,,,,,1,12,,,
,73.02.09,9 Ujungloe,,,,,1,12,,,
,73.02.10,10 Rilauale,,,,,1,14,,,
,73.03,3 KAB. BANTAENG,Bantaeng,,,8,21,46,391,202.482,"Luas Wilayah Indikatif sesuai, PBW Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,73.03.01,1 Bissappu,,,,,7,4,,,
,73.03.02,2 Bantaeng,,,,,8,1,,,
