K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
12.03.03.2096,,,,,,12 Sanggapati,,"Penggabungan Desa Silinggom Linggom, Binanga, & Desa Sitada
Tada, Perda No. 5/2008"
12.03.03.2097,,,,,,13 Pall XI,,"Penggabungan Desa Pasir Ampolu & Desa Sirumbi, Perda No. 5/2008"
12.03.03.1098,,,,,1Pasar Pargarutan,,,"Penggabungan Desa Panggulangan, Sosopan Pargarutan, Gunung
Manaon, Pargarutan Batu, & Desa Pargarutan Baru serta Peningkatan
status Kel., Perda No. 5/2008"
12.03.03.1099,,,,,"2Batang Tura
Sirumambe",,,"Penggabungan Desa Sirumambe, Galanggang, & Desa Tiang Aras
serta Peningkatan status Kel., Perda No. 5/2008"
12.03.04,,,,4Sipirok,6,34,,
12.03.04.1001,,,,,1Pasar Sipirok,,,
,,,,,Bagas Nagodang,,,"Bergabung dg Desa Bagas nagodang II, Bagas Nagodang III, Bagas
Nagodang IV, dan Desa Banjar Toba, Perda No. 5/2008"
12.03.04.1003,,,,,2Hutasuhut,,,"Penggabungan Desa Hutasutu I, Hutasuhut II, Hutasuhut III dan
Hutasuhut IV, serta peningkatan status Kel., Perda No. 5/2008"
12.03.04.1004,,,,,3Baringin,,,"Penggabungan Desa Baringi, Huta Raja, dan Desa Sumuran, Perda No.
5/2008"
12.03.04.1005,,,,,4Bunga Bondar,,,
,,,,,,Antur Mangan,,"Bergabung dg Desa Purba Tua, Padang Bulan, Aek latong, Huraba,
dan Desa Purba Sinombatua, Perda No. 5/2008"
,,,,,,Ampolu,,"Bergabung dg Desa Sabungan dan Desa Tapus, Perda No. 5/2008"
,,,,,,Aek Tampang,,"Bergabung dg Desa Gunung Tua baringin, Pinang Sori, dan Desa
Sidangkal, Perda No. 5/2008"
,,,,,,Bagas Nagodang II,,"Bergabung dengan Kel. Bagas Nagodang, Desa Bagas Nagodang III,
Bagas Nagodang IV, dan Desa Banjar Toba, Perda No. 5/2008"
12.03.04.2010,,,,,,1 Bagas Lombang,,
,,,,,,Bulu Payung,,"Bergabung dg Desa Pengkolan, Gunung Sari, dan Desa Hutaimbaru,
Perda No. 5/2008"
,,,,,,Banjar Toba,,"Bergabung dg Desa Pengkolan, Gunung Sari, dan Desa Hutaimbaru,
Perda No. 5/2008"
,,,,,,Batang Miha Jae,,
,,,,,,Batang Miha Julu,,
,,,,,,Bagas Nagodang III,,Bergabung dengan Kel. Sipirok Godang Perda No. 5/2008
,,,,,,Bagas Nagodang IV,,"Bergabung dg Kel. Bagas Nagodang, Desa Bagas Nagodang II, Bagas
Nagodang III, dan Desa Banjar Toba Perda, No. 5/2008"
12.03.04.2017,,,,,,2 Batu Satail,,
,,,,,,Dano Situmba,,"Bergabung dg Desa Ri Nabolak dan Desa Saba Siala, Perda No.
5/2008"
,,,,,,Dano Lombang,,"Bergabung dg Desa Paske dan Desa Gunung Hasahatan, Perda No.
5/2008"
,,,,,,Garoga,,
,,,,,,Gadu,,Bergabung dengan Desa Pangaribuan Perda No. 5/2008
,,,,,,Gunung Hasahatan,,"Bergabung dg Desa Paske dan Desa Dano Lombang, Perda No.
5/2008"
,,,,,,"Gunung Tinggi
Sialaman",,"Bergabung dg Desa Sialaman Julu, Labuhan Rasoki, dan Desa
Sihulambu, Perda No. 5/2008"
,,,,,,Hasahatan Dolok,,"Bergabung dg Desa Janji Lobi dan Desa Liang, Perda No. 5/2008"
,,,,,,,,
