NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
,21,KEPULAUAN RIAU,14,
1,21.01,KAB. BINTAN,263,
2,21.02,KAB. KARIMUN,248,
3,21.03,KAB. NATUNA,172,
4,21.04,KAB. LINGGA,630,
5,21.05,KAB. KEPULAUAN ANAMBAS,239,
6,21.71,KOTA BATAM,454,
7,21.72,KOTA TANJUNG PINANG,8,
,,TOTAL,"2,028",
