NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,73.10,"10 KAB. PANGKAJENE DAN
KEPULAUAN",Pangkep,,,13,38,65,889,352.949,"Luas Wilayah Indikatif, PGP sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
Perubahan nama Kab. semula Pangkajene Kepulauan menjadi
Pangkajene dan Kepulauan sesuai UU No. 29 Tahun 1959."
,73.10.01,1 Liukang Tangaya,,,,,1,8,,,
,73.10.02,2 Liukang Kalmas,,,,,1,6,,,
,73.10.03,3 Liukang Tupabbiring,,,,,2,7,,,
,73.10.04,4 Pangkajene,,,,,9,,,,
,73.10.05,5 Balocci,,,,,4,1,,,
,73.10.06,6 Bungoro,,,,,3,5,,,
,73.10.07,7 Labakkang,,,,,4,9,,,
,73.10.08,8 Marang,,,,,4,6,,,
,73.10.09,9 Segeri,,,,,4,2,,,
,73.10.10,10 Minasa Tene,,,,,6,2,,,
,73.10.11,11 Mandalle,,,,,,6,,,
,73.10.12,12 Tondong Tallasa,,,,,,6,,,
,73.10.13,13 Liukang Tupabbiring Utara,,,,,,7,,,"Perda No.10/2008, Rekomendasi Gubernur No. 135/7718/Dekon, Tgl
23 Desember 2008"
,73.11,11 KAB. BARRU,Barru,,,7,15,40,1.202,190.529,"Luas Wilayah Indikatif, PGP sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,73.11.01,1 Tanete Riaja,,,,,1,6,,,
,73.11.02,2 Tanete Rilau,,,,,2,8,,,
,73.11.03,3 Barru,,,,,5,5,,,
,73.11.04,4 Soppeng Riaja,,,,,2,5,,,
,73.11.05,5 Mallusetasi,,,,,3,5,,,
,73.11.06,6 Pujananting,,,,,1,6,,,
,73.11.07,7 Balusu,,,,,1,5,,,
,73.12,12 KAB. SOPPENG,Watan Soppeng,,,8,21,49,1.386,238.612,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,73.12.01,1 Marioriwawo,,,,,2,11,,,
,73.12.02,2 Liliraja,,,,,3,5,,,
,73.12.03,3 Lilirilau,,,,,4,8,,,
,73.12.04,4 Lalabata,,,,,7,3,,,
,73.12.05,5 Marioriawa,,,,,5,5,,,
,73.12.06,6 Donri Donri,,,,,,9,,,
,73.12.07,7 Ganra,,,,,,4,,,
