NO,KODE,"N A M A
KABUPATEN / KOTA",J U M L A H,,,"LUAS
WILAYAH
(Km2)*","JUMLAH
PENDUDUK
(Jiwa)**",K E T E R A N G A N
,,,KEC,KEL,DESA,,,
"1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19","13.01
13.02
13.03
13.04
13.05
13.06
13.07
13.08
13.09
13.10
13.11
13.12
13.71
13.72
13.73
13.74
13.75
13.76
13.77","KAB. PESISIR SELATAN
KAB. SOLOK
KAB. SIJUNJUNG
KAB. TANAH DATAR
KAB. PADANG PARIAMAN
KAB. AGAM
KAB. LIMA PULUH KOTA
KAB. PASAMAN
KAB. KEPULAUAN MENTAWAI
KAB. DHARMASRAYA
KAB. SOLOK SELATAN
KAB. PASAMAN BARAT
KOTA PADANG
KOTA SOLOK
KOTA SAWAHLUNTO
KOTA PADANG PANJANG
KOTA BUKITTINGGI
KOTA PAYAKUMBUH
KOTA PARIAMAN","15
14
8
14
17
16
13
12
10
11
7
11
11
2
4
2
3
5
4","0
0
0
0
0
0
0
0
0
0
0
0
104
13
10
16
24
47
16","182
74
62
75
103
92
79
62
43
52
39
90
0
0
27
0
0
0
55","6.045,649
3.590,404
3.150,580
1.377,186
1.342,266
2.226,270
3.273,405
3.902,444
5.983,222
2.920,925
3.282,144
3.852,993
694,337
58,720
231,945
23,560
24,173
74,552
64,767","516.600
397.276
240.469
375.327
441.688
525.136
389.837
302.271
91.694
228.801
182.181
437.512
919.660
77.535
67.344
60.449
131.817
141.813
96.733","Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Perubahan nama Kab. Sawahlunto/Sijunjung PP No. 25/2008.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Pemindahan Ibukota PP No. 79/2008.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022 (tidak
ada batas darat dengan kab/kota lainnya)
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Definitif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022."
