NO,KODE,"N A M A
KABUPATEN / KOTA",J U M L A H,,,"LUAS
WILAYAH
(Km2)*","JUMLAH
PENDUDUK
(Jiwa)**",K E T E R A N G A N
,,,KEC,KEL,DESA,,,
"1
2
3
4
5
6
7","19.01
19.02
19.03
19.04
19.05
19.06
19.71","KAB. BANGKA
KAB. BELITUNG
KAB. BANGKA SELATAN
KAB. BANGKA TENGAH
KAB. BANGKA BARAT
KAB. BELITUNG TIMUR
KOTA PANGKAL PINANG","8
5
8
6
6
7
7","19
7
3
7
6
0
42","62
42
50
56
60
39
0","3.016,847
2.270,708
3.598,239
2.259,982
2.851,408
2.588,403
104,542","324.232
183.353
201.948
200.110
206.937
127.899
227.948","Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
Luas Wilayah Definitif, PGP sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
Luas Wilayah Definitif, PGP sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,,JUMLAH,47,84,309,"16.690,129",1.472.427,
