K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
,,,,,,Kuala Raja,,"Menjadi wilayah Kec. Kuala, Perda No. 40/2004."
,,,,,,Cot L Sawa,,"Menjadi wilayah Kec. Kuala, Perda No. 40/2004."
,,,,,,Cot U Sibak,,"Menjadi wilayah Kec. Kuala, Perda No. 40/2004."
,,,,,,Cot Gleumpang,,"Menjadi wilayah Kec. Kuala, Perda No. 40/2004.."
,,,,,,Lancok Pante Ara,,"Menjadi wilayah Kec. Kuala, Perda No. 40/2004."
,,,,,,Lancok-Lancok,,"Menjadi wilayah Kec. Kuala, Perda No. 40/2004."
11.11.04.2032,,,,,,1 Glumpang Payong,,"Perbaikan nama sesuai Surat Pem Aceh No.146.1/10560 tgl 13 Juni
2016, Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa
tgl 17 Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017.
Perbaikan nama desa semula Gleumpang Payong menjadi Glumpang
Payong, sesuai:
Qanun No. 36 Tahun 2004; dan
Surat Sekda Pem. Aceh No. 140/14270 tgl 07 September 2022."
11.11.04.2033,,,,,,2 Blang Seunong,,
11.11.04.2034,,,,,,3 Cot Leusong,,
11.11.04.2035,,,,,,4 Batee Timoh,,
11.11.04.2036,,,,,,5 Lipah Rayeuk,,"Perbaikan nama sesuai Surat Pem Aceh No.146.1/10560 tgl 13 Juni
2016, Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa
tgl 17 Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.11.04.2037,,,,,,6 Cot Geureundong,,"Perbaikan nama sesuai Surat Pem Aceh No.146.1/10560 tgl 13 Juni
2016, Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa
tgl 17 Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.11.04.2038,,,,,,7 Lipah Cut,,
11.11.04.2039,,,,,,8 Beurawang,,
,,,,,,Krueng Juli Barat,,"Menjadi wilayah Kec. Kuala, Perda No. 40/2004."
,,,,,,Cot Trieng,,"Menjadi wilayah Kec. Kuala, Perda No. 40/2004."
11.11.04.2042,,,,,,9 Geudong Tampu,,
11.11.04.2043,,,,,,10 Cot Tarom Baroh,,
11.11.04.2044,,,,,,11 Blang Cot Baroh,,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
11.11.04.2045,,,,,,12 Blang Cot Tunong,,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
11.11.04.2046,,,,,,13 Seuleumbah,,
11.11.04.2047,,,,,,14 Cot Keutapang,,
11.11.04.2048,,,,,,15 Cot Tarom Tunong,,
11.11.04.2049,,,,,,16 Blang Bladeh,,
11.11.04.2050,,,,,,17 Mon Jambee,,
11.11.04.2051,,,,,,18 Blang Dalam,,
11.11.04.2052,,,,,,19 Kuala Jeumpa,,
11.11.04.2053,,,,,,20 Cot Gadong,,
11.11.04.2054,,,,,,21 Cot Bada,,
