NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,75.03,3 KAB. BONE BOLANGO,Suwawa,,,18,5,160,1.889,167.647,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,75.03.01,1 Tapa,,,,,,7,,,
,75.03.02,2 Kabila,,,,,5,7,,,
,75.03.03,3 Suwawa,,,,,,10,,,
,75.03.04,4 Bonepantai,,,,,,13,,,
,75.03.05,5 Bulango Utara,,,,,,9,,,Perda No. 24/2006
,75.03.06,6 Tilongkabila,,,,,,14,,,Perda No.19/2006
,75.03.07,7 Botupingge,,,,,,9,,,Perda No.20/2006
,75.03.08,8 Kabila Bone,,,,,,9,,,Perda No. 21/2006
,75.03.09,9 Bone,,,,,,14,,,Perda No. 23/2006
,75.03.10,10 Bone Raya,,,,,,10,,,Perda No. 22/2006
,75.03.11,11 Suwawa Timur,,,,,,9,,,Perda No. 27/2007
,75.03.12,12 Suwawa Selatan,,,,,,8,,,Perda No. 28/2007
,75.03.13,13 Suwawa Tengah,,,,,,6,,,Perda No. 29/2007
,75.03.14,14 Bulango Ulu,,,,,,6,,,Perda No. 30/2007
,75.03.15,15 Bulango Selatan,,,,,,10,,,Perda No. 31/2007
,75.03.16,16 Bulango Timur,,,,,,5,,,Perda No. 32/2007
,75.03.17,17 Bulawa,,,,,,9,,,Perda No. 33/2007
,75.03.18,18 Pinogu,,,,,,5,,,Pemekaran Kec. Suwawa Timur Perda No. 5/2012
,75.04,4 KAB. POHUWATO,Marisa,,,13,3,101,4.370,153.418,"Perbaikan nama semula Kab. Pahuwato menjadi Kab. Pohuwato sesuai
Surat Bup. 100/195/Sek-Pem tgl 24 Feb 2020 dan UU No. 6/2003
Luas Wilayah Indikatif, PAWAP, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,75.04.01,1 Popayato,,,,,,10,,,
,75.04.02,2 Lemito,,,,,,8,,,
,75.04.03,3 Randangan,,,,,,13,,,
,75.04.04,4 Marisa,,,,,,8,,,
,75.04.05,5 Paguat,,,,,3,8,,,
,75.04.06,6 Patilanggio,,,,,,6,,,
,75.04.07,7 Taluditi,,,,,,7,,,
,75.04.08,8 Dengilo,,,,,,5,,,Perda No. 2/2008
,75.04.09,9 Buntulia,,,,,,7,,,Perda No. 2/2008
,75.04.10,10 Duhiadaa,,,,,,8,,,Perda No. 2/2008
,75.04.11,11 Wanggarasi,,,,,,7,,,Perda No. 2/2008
,75.04.12,12 Popayato Timur,,,,,,7,,,Perda No. 2/2008
