K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
12,SUMATERA UTARA,,,,,,,
12.03,KAB. TAPANULI SELATAN,,,15,37,211,"4.201,035","Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
12.03.01,,,,1Angkola Barat,2,12,,"Perubahan nama Kec. Padang Sidempuan Barat, Perda No. 13/2007"
12.03.01.1001,,,,,1Sitinjak,,,
12.03.01.2002,,,,,,1 Panobasan,,
12.03.01.1003,,,,,2Simatorkis Sisoma,,,"Peningkatan status Kel., Perda No. 5/2008"
12.03.01.2004,,,,,,2 Siuhom,,
12.03.01.2005,,,,,,3 Sigumuru,,
12.03.01.2006,,,,,,4 Sibangkua,,
12.03.01.2007,,,,,,5 Sisundung,,
12.03.01.2008,,,,,,6 Aek Nabara,,
,,,,,,Hutaimbaru,,"Menjadi wil. Kota Padangsidimpuan, UU No. 4/2001"
,,,,,,Sabagun Jae,,"Menjadi wil. Kota Padangsidimpuan, UU No. 4/2001"
12.03.01.2011,,,,,,7 Parsalakan,,
,,,,,,Singali,,"Menjadi wil. Kota Padangsidimpuan, UU No. 4/2001"
,,,,,,Aek Pardomuan,,Menjadi wil Kec. Angkola Sangkunur Perda No. 5/2010
,,,,,,Tinjoman Tama,,"Menjadi wil. Kota Padangsidimpuan, UU No. 4/2001"
12.03.01.2015,,,,,,8 Sitaratoit,,
12.03.01.2016,,,,,,9 Sialogo,,
,,,,,,Palopat Maria,,"Menjadi wil. Kota Padangsidimpuan, UU No. 4/2001"
,,,,,,Bandar Tarutung,,Menjadi wil Kec. Angkola Sangkunur Perda No. 5/2010
,,,,,,Simatohir,,Menjadi wil Kec. Angkola sangkunur Perda No. 5/2010
,,,,,,Perkebunan Malombu,,"Bergabung dg Desa Perkebunan Sangkunur, Perda No. 5/2008"
,,,,,,Perkebunan,,Menjadi wil Kec. Angkola sangkunur Perda No. 5/2010
,,,,,,Batu Godang,,Menjadi wil Kec. Angkola Sangkunur Perda No. 5/2010
,,,,,,"Sabungan
Sibabangun",,"Menjadi wil. Kota Padangsidimpuan, UU No. 4/2001"
12.03.01.2024,,,,,,10 Lembah Lubuk Raya,,
,,,,,,Tindoan Laut,,Menjadi wil Kec. Angkola Sangkunur Perda No. 5/2010
,,,,,,Simataniari,,Menjadi wil Kec. Angkola Sangkunur Perda No. 5/2010
,,,,,Sangkunur,,,Menjadi wil Kec. Angkola sangkunur Perda No. 5/2010
,,,,,,Lubuk Raya,,"Menjadi wil. Kota Padangsidimpuan, UU No. 4/2001"
,,,,,,Lembah Lubuk Manik,,"Menjadi wil. Kota Padangsidimpuan, UU No. 4/2001"
,,,,,,Huta Padang,,"Menjadi wil. Kota Padangsidimpuan, UU No. 4/2001"
12.03.01.2031,,,,,,"11 Lobu Layan
Sigordang",,Berdasarkan Perda Kabupaten Tapanuli Selatan No. 1 Tahun 2016
,,,,,,Partihaman Saroha,,"Menjadi wil. Kota Padangsidimpuan, UU No. 4/2001"
,,,,,Rianiate,,,Menjadi wil Kec. Angkola sangkunur Perda No. 5/2010
