NO,KODE,"N A M A
KABUPATEN / KOTA",J U M L A H,,,"LUAS
WILAYAH
(Km2)*","JUMLAH
PENDUDUK
(Jiwa)**",K E T E R A N G A N
,,,KEC,KEL,DESA,,,
"1
2
3
4
5
6
7
8
9
10
11
12
13
14
15","71.01
71.02
71.03
71.04
71.05
71.06
71.07
71.08
71.09
71.10
71.11
71.71
71.72
71.73
71.74","KAB. BOLAANG MONGONDOW
KAB. MINAHASA
KAB. KEPULAUAN SANGIHE
KAB. KEPULAUAN TALAUD
KAB. MINAHASA SELATAN
KAB. MINAHASA UTARA
KAB. MINAHASA TENGGARA
KAB. BOLAANG MONGONDOW UTARA
KAB. KEP. SIAU TAGULANDANG BIARO
KAB. BOLAANG MONGONDOW TIMUR
KAB. BOLAANG MONGONDOW SELATAN
KOTA MANADO
KOTA BITUNG
KOTA TOMOHON
KOTA KOTAMOBAGU","15
25
15
19
17
10
12
6
10
7
7
11
8
5
4","2
43
22
11
10
6
9
1
10
0
0
87
69
44
18","200
227
145
142
167
125
135
106
83
81
81
0
0
0
15","3.269,305
1.128,453
597,260
1.012,140
1.456,690
995,549
753,136
1.644,377
217,287
859,973
1.796,071
162,353
329,724
169,064
108,893","252.628
344.440
136.609
100.058
240.350
223.755
118.848
85.707
71.863
89.272
72.284
476.910
227.222
101.221
123.146","Luas Wilayah Indikatif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Indikatif, PGP, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif, PGGB, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
