K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
,,,,,Belian,,,Menjadi wil. Kec. Batam Kota
21.71.05,,,,5Bulang,6,-,,
21.71.05.1001,,,,,1Bulang Lintang,,,
21.71.05.1002,,,,,2Pulau Buluh,,,
21.71.05.1003,,,,,3Temoyong,,,
21.71.05.1004,,,,,4Batu Legong,,,
21.71.05.1005,,,,,5Pantai Gelam,,,
21.71.05.1006,,,,,6Pulau Setokok,,,
21.71.06,,,,6Lubuk Baja,5,-,,
21.71.06.1001,,,,,1Kampung Pelita,,,
,,,,,Pangkalan Petai,,,
21.71.06.1003,,,,,2Lubuk Baja Kota,,,
21.71.06.1004,,,,,3Batu Selicin,,,
21.71.06.1005,,,,,4Tanjung Uma,,,
21.71.06.1006,,,,,5Baloi Indah,,,
21.71.07,,,,7Sei Beduk,4,-,,
21.71.07.1001,,,,,1Muka Kuning,,,
21.71.07.1002,,,,,2Duriangkang,,,
21.71.07.1003,,,,,3Mangsang,,,
21.71.07.1004,,,,,4Tanjung Piayu,,,
21.71.08,,,,8Galang,8,-,,Perda No. 2/2005
21.71.08.1001,,,,,1Sijantung,,,
21.71.08.1002,,,,,2Karas,,,
21.71.08.1003,,,,,3Galang Baru,,,
21.71.08.1004,,,,,4Sembulang,,,
21.71.08.1005,,,,,5Rempang Cate,,,
21.71.08.1006,,,,,6Subang Mas,,,
21.71.08.1007,,,,,7Pulau Abang,,,
21.71.08.1008,,,,,8Air Raja,,,
21.71.09,,,,9Bengkong,4,-,,Perda No. 2/2005
21.71.09.1001,,,,,1Bengkong Indah,,,Semula wil Kec Batu Ampar
21.71.09.1002,,,,,2Bengkong Laut,,,Semula wil Kec Batu Ampar
21.71.09.1003,,,,,3Sadai,,,Perda No. 2/2005
21.71.09.1004,,,,,4Tanjung Buntung,,,Perda No. 2/2005
21.71.10,,,,10Batam Kota,6,-,,Perda No. 2/2005
21.71.10.1001,,,,,1Baloi Permai,,,Semula wil. Kec. Nongsa
21.71.10.1002,,,,,2Taman Baloi,,,Semula wil. Kec. Nongsa
21.71.10.1003,,,,,3Teluk Tering,,,Semula wil. Kec. Nongsa
21.71.10.1004,,,,,4Belian,,,Semula wil. Kec. Nongsa
21.71.10.1005,,,,,5Sukajadi,,,Perda No. 2/2005
