Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
61.12.40022,Pulau Panjang,,"00°38'58.04"" S 109°24'07.40"" T",
61.12.40023,Pulau Pelombak,,"00°21'23.00"" S 109°11'30.00"" T",TBP
61.12.40024,Pulau Perling,,"00°39'04.00"" S 109°27'41.00"" T",TBP
61.12.40025,Pulau Pulaibuntung,,"00°43'04.00"" S 109°37'59.00"" T",TBP
61.12.40026,Pulau Sejenuairtawar,,"00°41'34.00"" S 109°36'47.99"" T",BP
61.12.40027,Pulau Sekancil,,"00°09'33.00"" S 109°54'30.13"" T",TBP
61.12.40028,Pulau Selatsih,,"00°53'42.00"" S 109°21'42.99"" T",BP
61.12.40029,Pulau Sempade Dalam,,"00°41'34.78"" S 109°27'24.44"" T",
61.12.40030,Pulau Separoh,,"00°11'22.99"" S 109°55'23.00"" T",BP
61.12.40031,Pulau Sepokkeladi,,"00°11'17.99"" S 109°06'27.00"" T",BP
61.12.40032,Pulau Sepoklaut,,"00°13'36.99"" S 109°07'22.00"" T",BP
61.12.40033,Pulau Sepokperupuk,,"00°08'21.99"" S 109°06'31.00"" T",BP
61.12.40034,Pulau Tanjungsaleh,,"00°07'09.99"" S 109°09'20.99"" T",BP
61.12.40035,Pulau Tanjungsapi,,"00°22'08.00"" S 109°37'05.00"" T",BP
61.12.40036,Pulau Telokair Dua,,"00°45'32.00"" S 109°36'06.00"" T",BP
61.12.40037,Pulau Telokair Satu,,"00°43'46.99"" S 109°33'51.00"" T",BP
61.12.40038,Pulau Telokair Tiga,,"00°43'39.00"" S 109°35'19.00"" T",TBP
61.12.40039,Pulau Teluk Pakedai,,"00°20'12.18"" S 109°16'03.51"" T",
61.12.40040,Pulau Telukbayur,,"00°15'04.00"" S 109°54'46.00"" T",BP
61.12.40041,Pulau Tempurung,,"00°06'38.99"" S 109°07'19.99"" T",TBP
61.12.40042,Pulau Tenggaramandi,,"00°53'08.00"" S 109°24'24.99"" T",TBP
61.12.40043,Pulau Tiga,,"00°36'04.00"" S 109°17'39.00"" T",TBP
61.71,KOTA PONTIANAK,1,,
61.71.40003,Pulau Batulayang,,"00°00'16.99"" U 109°17'51.00"" T",TBP
61.72,KOTA SINGKAWANG,1,,
61.72.40001,Pulau Simping,,"00°52'02.12"" U 108°54'04.80"" T",TBP
Jumlah Pulau Provinsi KALIMANTAN BARAT,,253,,
