NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
,81,MALUKU,7,
1,81.01,KAB. MALUKU TENGAH,43,
2,81.02,KAB. MALUKU TENGGARA,74,
3,81.03,KAB. KEPULAUAN TANIMBAR,320,
4,81.04,KAB. BURU,4,
5,81.05,KAB. SERAM BAGIAN TIMUR,56,
6,81.06,KAB. SERAM BAGIAN BARAT,52,
7,81.07,KAB. KEPULAUAN ARU,687,
8,81.08,KAB. MALUKU BARAT DAYA,54,
9,81.09,KAB. BURU SELATAN,26,
10,81.72,KOTA TUAL,65,
,,TOTAL,"1,388",
