NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
VII,17,BENGKULU,,9,1,129,172,1341,20.128,2.047.110,
,17.01,1 KAB. BENGKULU SELATAN,Manna,,,11,16,142,1.219,170.931,"Luas Wilayah Definitif, PGP sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,17.01.01,1 Kedurang,,,,,,19,,,
,17.01.02,2 Seginim,,,,,1,21,,,
,17.01.03,3 Pino,,,,,1,15,,,
,17.01.04,4 Manna,,,,,1,17,,,
,17.01.05,5 Kota Manna,,,,,6,5,,,
,17.01.06,6 Pino Raya,,,,,,21,,,
,17.01.07,7 Kedurang Ilir,,,,,,12,,,
,17.01.08,8 Air Nipis,,,,,,10,,,
,17.01.09,9 Ulu Manna,,,,,,10,,,
,17.01.10,10 Bunga Mas,,,,,,10,,,
,17.01.11,11 Pasar Manna,,,,,7,2,,,
,17.02,2 KAB. REJANG LEBONG,Curup,,,15,34,122,1.559,282.349,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,,Lembong Utara,,,,,,,,,"Menjadi wil. Kab. Lebong, UU No. 39 / 2003."
,,Lebong Atas,,,,,,,,,"Menjadi wil. Kab. Lebong, UU No. 39 / 2003."
,,Lebong Tengah,,,,,,,,,"Menjadi wil. Kab. Lebong, UU No. 39 / 2003."
,,Lebong Selatan,,,,,,,,,"Menjadi wil. Kab. Lebong, UU No. 39 / 2003."
,,Rimbo Pengadang,,,,,,,,,"Menjadi wil. Kab. Lebong, UU No. 39 / 2003."
,17.02.06,6 Kota Padang,,,,,3,7,,,
,17.02.07,7 Padang Ulak Tanding,,,,,1,14,,,
,17.02.08,8 Sindang Kelingi,,,,,1,9,,,
,17.02.09,9 Curup,,,,,9,,,,
,17.02.10,10 Bermani Ulu,,,,,,12,,,
,17.02.11,11 Selupu Rejang,,,,,3,13,,,
,,Bermani Ilir,,,,,,,,,"Menjadi wil. Kab. Kepahiang, UU No. 39 / 2003."
,,Ujan Mas,,,,,,,,,"Menjadi wil. Kab. Kepahiang, UU No. 39 / 2003."
,,Tebat Karai,,,,,,,,,"Menjadi wil. Kab. Kepahiang, UU No. 39 / 2003."
,,Kepahiang,,,,,,,,,"Menjadi wil. Kab. Kepahiang, UU No. 39 / 2003."
,17.02.16,16 Curup Utara,,,,,2,12,,,Perda No. 5 / 2005
,17.02.17,17 Curup Timur,,,,,4,5,,,Perda No. 5 / 2005
