NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
1,36.01,KAB. PANDEGLANG,51,
2,36.02,KAB. LEBAK,5,
3,36.03,KAB. TANGERANG,1,
4,36.04,KAB. SERANG,19,
5,36.72,KOTA CILEGON,5,
,,TOTAL,81,
