NO,KODE,"N A M A
KABUPATEN / KOTA",J U M L A H,,,"LUAS
WILAYAH
(Km2)*","JUMLAH
PENDUDUK
(Jiwa)**",K E T E R A N G A N
,,,KEC,KEL,DESA,,,
"1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17","16.01
16.02
16.03
16.04
16.05
16.06
16.07
16.08
16.09
16.10
16.11
16.12
16.13
16.71
16.72
16.73
16.74","KAB. OGAN KOMERING ULU
KAB. OGAN KOMERING ILIR
KAB. MUARA ENIM
KAB. LAHAT
KAB. MUSI RAWAS
KAB. MUSI BANYUASIN
KAB. BANYUASIN
KAB. OGAN KOMERING ULU TIMUR
KAB. OGAN KOMERING ULU SELATAN
KAB. OGAN ILIR
KAB. EMPAT LAWANG
KAB. PENUKAL ABAB LEMATANG ILIR
KAB. MUSI RAWAS UTARA
KOTA PALEMBANG
KOTA PAGAR ALAM
KOTA LUBUK LINGGAU
KOTA PRABUMULIH","13
18
22
24
14
15
21
20
19
16
10
5
7
18
5
8
6","14
13
10
18
13
13
25
7
7
14
9
6
7
107
35
72
33","143
314
245
360
186
229
288
305
252
227
147
65
82
0
0
0
12","3.774,497
17.071,333
6.763,912
4.333,065
6.122,588
14.550,788
12.262,756
3.412,716
4.369,252
2.302,858
2.234,097
1.842,563
5.937,803
352,506
625,913
367,726
447,311","374.080
755.494
622.337
436.312
411.196
668.654
826.755
667.141
417.871
429.156
335.368
202.062
195.220
1.721.392
147.949
234.830
200.869","Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Definitif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
UU No. 1/2007.
Luas Wilayah Definitif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Perubahan nama Kec dan Kel,Perda No. 11/2017, Srt Gub. 188.342/1404/II/2020 tgl 9 Juni 2020 dan Rekom Dit. Dekon No.
505/TUDK/2020 tgl 10 Juli 2020.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022."
