K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
13.12.10.2003,,,,,,3 Giri Maju,,"Pemekaran sebagian wil. Nagari Koto Baru, sesuai:
Perda No. 14 Tahun 2022; dan
Surat Dirjen Bina Pemdes No. 146.1/6085/BPD tgl 9 Desember 2021."
13.12.10.2004,,,,,,4 Ophir,,"Pemekaran sebagian wil. Nagari Koto Baru, sesuai:
Perda No. 14 Tahun 2022; dan
Surat Dirjen Bina Pemdes No. 146.1/6085/BPD tgl 9 Desember 2021."
13.12.10.2005,,,,,,5 Mahakarya,,"Pemekaran sebagian wil. Nagari Koto Baru, sesuai:
Perda No. 14 Tahun 2022; dan
Surat Dirjen Bina Pemdes No. 146.1/6085/BPD tgl 9 Desember 2021."
13.12.10.2006,,,,,,6 Sariak,,"Pemekaran sebagian wil. Nagari Koto Baru, sesuai:
Perda No. 14 Tahun 2022; dan
Surat Dirjen Bina Pemdes No. 146.1/6085/BPD tgl 9 Desember 2021."
13.12.10.2007,,,,,,7 Sungai Talang,,"Pemekaran sebagian wil. Nagari Koto Baru, sesuai:
Perda No. 14 Tahun 2022; dan
Surat Dirjen Bina Pemdes No. 146.1/6085/BPD tgl 9 Desember 2021."
13.12.10.2008,,,,,,8 Jambak Selatan,,"Pemekaran sebagian wil. Nagari Koto Baru, sesuai:
Perda No. 14 Tahun 2022; dan
Surat Dirjen Bina Pemdes No. 146.1/6085/BPD tgl 9 Desember 2021."
13.12.10.2009,,,,,,9 Pujorahayu,,"Pemekaran sebagian wil. Nagari Koto Baru, sesuai:
Perda No. 14 Tahun 2022; dan
Surat Dirjen Bina Pemdes No. 146.1/6085/BPD tgl 9 Desember 2021."
13.12.11,,,,11Sasak Ranah Pasisie,-,4,,"perbaikan nama dari Sasak Ranah Pesisir menjadi Sasak Ranah
Pasisie,surat Gubernur Sumatera Barat No 120/223/PEM-2021 tgl 19
April 2021,surat Bupati Pasaman No 130/133/PEM 2021 tgl 31 Maret
2021,Perda Kab Pasaman Barat No 21 Tahun 2016"
13.12.11.2001,,,,,,1 Sasak,,
13.12.11.2002,,,,,,2 Padang Harapan,,"Pemekaran sebagian wil. Nagari Sasak, sesuai:
Perda No. 13 Tahun 2022; dan
Surat Dirjen Bina Pemdes No. 146.1/6085/BPD tgl 9 Desember 2021."
13.12.11.2003,,,,,,3 Ranah Pasisie,,"Pemekaran sebagian wil. Nagari Sasak, sesuai:
Perda No. 13 Tahun 2022; dan
Surat Dirjen Bina Pemdes No. 146.1/6085/BPD tgl 9 Desember 2021."
13.12.11.2004,,,,,,4 Maligi,,"Pemekaran sebagian wil. Nagari Sasak, sesuai:
Perda No. 13 Tahun 2022; dan
Surat Dirjen Bina Pemdes No. 146.1/6085/BPD tgl 9 Desember 2021."
