K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
32.73.24.1003,,,,,3Cisaranten Kulon,,,
32.73.24.1004,,,,,4Cisaranten Endah,,,Koreksi nama desa Perda No. 06/2006
32.73.25,,,,25Cibiru,4,-,,
32.73.25.1001,,,,,1Palasari,,,
32.73.25.1002,,,,,2Cipadung,,,
32.73.25.1003,,,,,3Pasir Biru,,,
32.73.25.1004,,,,,4Cisurupan,,,
,,,,,Cipadung Kulon,,,"Menjadi wil. Kec. Panyileukan, Perda No.3/2006"
,,,,,Cipadung Kidul,,,"Menjadi wil. Kec. Panyileukan, Perda No.3/2006"
32.73.26,,,,26Ujungberung,5,-,,Perda 9/2000 TGL 7 Des 2000
,,,,,Ujung Berung,,,
,,,,,Cisaranten Wetan,,,"Menjadi wil. Kec. Cinambo, Perda No.3/2006"
32.73.26.1003,,,,,1Pasir Endah,,,
32.73.26.1004,,,,,2Cigending,,,
32.73.26.1005,,,,,3Pasirwangi,,,
32.73.26.1006,,,,,4Pasirjati,,,
32.73.26.1007,,,,,5Pasanggrahan,,,
32.73.27,,,,27Gedebage,4,-,,Perda No. 6/2006
32.73.27.1001,,,,,1Cimincrang,,,"Perbaikan nama kelurahan semula Cimenerang menjadi Cimincrang,
sesuai:
Surat Sekda Kota Bandung No. P/PD.05.01/2489-Bag. Tapem/VIII/2022
tanggal 24 Agustus 2022; dan
Perda Kota Bandung No. 6/2006."
32.73.27.1002,,,,,2Cisaranten Kidul,,,"Perbaikan nama kelurahan semula Cisantren Kidul menjadi Cisaranten
Kidul, sesuai:
Surat Sekda Kota Bandung No. P/PD.05.01/2489-Bag. Tapem/VIII/2022
tanggal 24 Agustus 2022; dan
Perda Kota Bandung No. 6/2006."
32.73.27.1003,,,,,3Rancabolang,,,Perda No.3/2006
32.73.27.1004,,,,,4Rancanumpang,,,Perda No.3/2006
32.73.28,,,,28Panyileukan,4,-,,Perda No. 6/2006
32.73.28.1001,,,,,1Cipadung Kulon,,,Semula wil. Kec. Cibiru
32.73.28.1002,,,,,2Cipadung Kidul,,,Semula wil. Kec. Cibiru
32.73.28.1003,,,,,3Cipadung Wetan,,,Perda No.3/2006
32.73.28.1004,,,,,4Mekar Mulya,,,"Perda No.3/2006, Koreksi nama desa Perda No. 06/2006"
32.73.29,,,,29Cinambo,4,-,,Perda No. 6/2006
32.73.29.1001,,,,,1Cisaranten Wetan,,,Semula wil. Kec.Ujung Berung
32.73.29.1002,,,,,2Pakemitan,,,Perda No.3/2006
32.73.29.1003,,,,,3Sukamulya,,,Perda No.3/2006
32.73.29.1004,,,,,4Babakan Penghulu,,,Perda No.3/2006
32.73.30,,,,30Mandalajati,4,-,,Perda No. 6/2006
32.73.30.1001,,,,,1Jatihandap,,,Perda No.3/2006
