NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,33.18.08,8 Juwana,,,,,,29,,,
,33.18.09,9 Jakenan,,,,,,23,,,
,33.18.10,10 Pati,,,,,5,24,,,
,33.18.11,11 Gabus,,,,,,24,,,
,33.18.12,12 Margorejo,,,,,,18,,,
,33.18.13,13 Gembong,,,,,,11,,,
,33.18.14,14 Tlogowungu,,,,,,15,,,
,33.18.15,15 Wedarijaksa,,,,,,18,,,
,33.18.16,16 Margoyoso,,,,,,22,,,
,33.18.17,17 Gunungwungkal,,,,,,15,,,
,33.18.18,18 Cluwak,,,,,,13,,,
,33.18.19,19 Tayu,,,,,,21,,,
,33.18.20,20 Dukuhseti,,,,,,12,,,
,33.18.21,21 Trangkil,,,,,,16,,,
,33.19,19 KAB. KUDUS,Kudus,,,9,9,123,447,867.637,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,33.19.01,1 Kaliwungu,,,,,,15,,,
,33.19.02,2 Kota Kudus,,,,,9,16,,,
,33.19.03,3 Jati,,,,,,14,,,
,33.19.04,4 Undaan,,,,,,16,,,
,33.19.05,5 Mejobo,,,,,,11,,,
,33.19.06,6 Jekulo,,,,,,12,,,
,33.19.07,7 Bae,,,,,,10,,,
,33.19.08,8 Gebog,,,,,,11,,,
,33.19.09,9 Dawe,,,,,,18,,,
,33.20,20 KAB. JEPARA,Jepara,,,16,11,184,1.020,1.236.674,"Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,33.20.01,1 Kedung,,,,,,18,,,
,33.20.02,2 Pecangaan,,,,,,12,,,
,33.20.03,3 Welahan,,,,,,15,,,
,33.20.04,4 Mayong,,,,,,18,,,
,33.20.05,5 Batealit,,,,,,11,,,
,33.20.06,6 Jepara,,,,,11,5,,,
,33.20.07,7 Mlonggo,,,,,,8,,,
,33.20.08,8 Bangsri,,,,,,12,,,
