K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
,,,,,,Saut Matogu,,"Bergabung dg Desa Simanosor Tapus, Simanosor Gareja, Simanosor
Tonga, dan Desa Banua Rakyat, Perda No. 5/2008"
,,,,,,Lumban Hariara,,"Bergabung dg Desa Galanggang, Damparan, dan Desa Hanunatas,
Perda No. 5/2008"
,,,,,,Haunatas,,"Bergabung dg Desa Galanggang, Damparan, dan Desa Lumban
Hariara, Perda No. 5/2008"
,,,,,,Damparan,,"Bergabung dg Desa Galanggang, Haunatas, dan Desa Lumban
Hariara, Perda No. 5/2008"
,,,,,,Sigoring- Goring,,"Penggabungan dg Desa Purba Tua Simangambat, Gunung Tua
Pandapotan, Simandera Huta Julu, Sigoring Goring, dan Desa
Simangambat, Perda No. 5/2008"
12.03.05.2018,,,,,,1 Simangambat,,"Penggabungan Desa Simangambat Godang, Pagaran Panindoan dan
Desa Huta Rakyat, Perda No.5/2008, Berdasarkan Perda Kabupaten
Tapanuli Selatan No. 1 Tahun 2016, Perbaikan nama sesuai BA No.
2826.a/BP/2017 tgl 30 Okt s/d 1 Nov 2017"
,,,,,,"Purba T.
Simangambat",,"Bergabung dg Desa Somba Debata, dan Desa Binanga, Perda No.
5/2008"
,,,,,,Lenggahara,,"Bergabung dg Desa Somba Debata, dan Desa Binanga, Perda No.
5/2008"
,,,,,,Binanga,,"Bergabung dg Desa Somba Debata, dan Desa Lenggahara, Perda No.
5/2008"
,,,,,,P. Mandailing Julu,,"Bergabung dg Desa Bangun Purba, Pijarkoling, Padang Mandailing
Godang, dan Desa Padang Garugur, Perda No. 5/2008"
,,,,,,Pijor Koling,,"Bergabung dg Desa Bangun Purba, Padang Mandailing Godang,
Padang Mandailing Julu, dan Desa Padang Garugur, Perda No. 5/2008"
,,,,,,Bangun Purba,,"Bergabung dg Desa Pijorkoling, Padang Mandailing Godang, Padang
Mandailing Julu, dan Desa Padang Mandailing Garugur, Perda No.
5/2008"
,,,,,,Parsuluman,,"Bergabung dg Desa Batang Garut, Perda No. 5/2008"
,,,,,,Simaole-Ole,,"Bergabung dg Desa Situnggaling, dan Desa Ulu Mamis, Perda No.
5/2008"
,,,,,,Situnggaling,,"Bergabung dg Desa Simole Ole, dan Desa Ulu Mamis, Perda No.
5/2008"
,,,,,,Ulumanis,,"Bergabung dg Desa Simole Ole, dan Desa Situnggaling, Perda No.
5/2008"
,,,,,,Batang Garut,,"Bergabung dg Desa Parsuluman, Perda No. 5/2008"
,,,,,,Sigiring Giring,,"Bergabung dg Desa Sunge Pining, Huta Tonga Turunan, dan Desa
Turunan, Perda No. 5/2008"
,,,,,,Huta Tonga Turunan,,"Bergabung dg Desa Sigiring Giring, Sunge Pining, dan Desa Turunan,
Perda No. 5/2008"
,,,,,,Turunan,,"Bergabung dg Desa Sigiring Giring, Sunge Pining, dan Desa Huta
Tonga Turunan, Perda No. 5/2008"
,,,,,,Sunge Pining,,"Bergabung dg Desa Sigiring Giring, Huta Tonga Turunan, dan Desa
Turunan, Perda No. 5/2008"
,,,,,,Pintu Padang,,"Bergabung dg Desa Mandalasena, Pargumbangan, Janji Mauli
Madnalasena, Desa Huta baru mandalasena, Desa Hutanopan,
Gunung Selamat, Rahuning Julu, Tano Hudon Jae, dan Desa Tano
Hudon Julu, Perda No. 5/2008"
,,,,,,,,
