NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
,65,KALIMANTAN UTARA,1,
1,65.01,KAB. BULUNGAN,115,
2,65.02,KAB. MALINAU,7,
3,65.03,KAB. NUNUKAN,28,
4,65.04,KAB. TANA TIDUNG,43,
5,65.71,KOTA TARAKAN,2,
,,TOTAL,196,
