K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
76.04.03.2003,,,,,,2 Sumberjo,,"Perbaikan nama desa semula Sumberejo menjadi Sumberjo, sesuai:
Surat Pernyataan Bup. Polewali Mandar No.
B-186/Bupati/Pem/100/08/2022; dan
Surat Sekda Kab. Polewali Mandar No. B-2102.01.02/2601/2022 tgl 22
September 2022."
76.04.03.2004,,,,,,3 Bumiayu,,
76.04.03.2005,,,,,,4 Kebunsari,,
76.04.03.2006,,,,,,5 Banua Baru,,
76.04.03.2007,,,,,,6 Nepo,,
76.04.03.2008,,,,,,7 Sugihwaras,,
76.04.03.2009,,,,,,8 Campurjo,,
76.04.03.2010,,,,,,9 Bumimulyo,,
76.04.03.2011,,,,,,10 Tumpiling,,
76.04.03.2012,,,,,,11 Bakka-Bakka,,Perda No. 1/2004
76.04.03.2013,,,,,,12 Arjosari,,"Perda No. 1/2004.
Perbaikan nama desa semula Arjo Sari menjadi Arjosari, sesuai:
Perda No. 1 Tahun 2004; dan
Surat Sekda Kab. Polewali Mandar No. B-2102.01.02/2601.2022 tgl 22
September 2022."
76.04.03.2014,,,,,,13 Galeso,,"Perbaikan nama desa semula Galeson menjadi Galeso, sesuai:
Perda No. 2 Tahun 2004;
Surat Sekda Kab. Polewali Mandar No. B-2102.01.02/2601/2022 tgl 22
September 2022; dan
Surat Dirjen Bina Pemdes No. 145/4416/BPD tgl 30 Agustus 2022."
76.04.04,,,,4Polewali,9,-,,
76.04.04.1001,,,,,1Polewali,,,
76.04.04.1002,,,,,2Wattang,,,
76.04.04.1003,,,,,3Sulewatang,,,
76.04.04.1004,,,,,4Lantora,,,
76.04.04.1005,,,,,5Takatidung,,,
76.04.04.1006,,,,,6Pekkabata,,,
76.04.04.1007,,,,,7Madatte,,,"Perbaikan nama kel. semula Madate menjadi Madatte, sesuai:
Surat Pernyataan Bup. Polewali Mandar No.
B-186/Bupati/Pem/100/08/2022; dan
Surat Bup. Polewali Mandar No. B-182/Bupati/Pem/005/08/2022."
76.04.04.1008,,,,,8Manding,,,
76.04.04.1009,,,,,9Darma,,,
76.04.05,,,,5Tutar,1,12,,"Perubahan nama Kec. Tutallu, Perda No. 1/2004"
76.04.05.1001,,,,,1Taramanu,,,
76.04.05.2002,,,,,,1 Ambopadang,,
76.04.05.2003,,,,,,2 Tubbi,,
76.04.05.2004,,,,,,3 Ratte,,
76.04.05.2005,,,,,,4 Besoangin,,
,,,,,,,,
