K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
53.07.02.2003,,,,,,3 Gera,,
53.07.02.2004,,,,,,4 Liakutu,,
53.07.02.2005,,,,,,5 Parabubu,,
53.07.02.2006,,,,,,6 Wolodhesa,,
53.07.02.2007,,,,,,7 Korobhera,,
53.07.02.2008,,,,,,8 Napugera,,
53.07.02.2009,,,,,,9 Kowi,,
53.07.02.2010,,,,,,10 Dobo Nuapuu,,
53.07.02.2011,,,,,,11 Ratekalo,,"Pemekaran dari Desa Bhera ; Perda Kab. Sikka No 2 Tahun 2022
tentang Pembentukan 34 (Tiga Puluh Empat) Desa Dalam Wilayah
Kabupaten Sikka"
53.07.02.2012,,,,,,12 Ndaimbere,,"Pemekaran dari Desa Gera ; Perda Kab. Sikka No 2 Tahun 2022
tentang Pembentukan 34 (Tiga Puluh Empat) Desa Dalam Wilayah
Kabupaten Sikka"
53.07.03,,,,3Lela,-,9,,
53.07.03.2001,,,,,,1 Lela,,
53.07.03.2002,,,,,,2 Watutedang,,
53.07.03.2003,,,,,,3 Korowuwu,,
53.07.03.2004,,,,,,4 Kolidetung,,
53.07.03.2005,,,,,,5 Sikka,,
53.07.03.2006,,,,,,6 Iligai,,
53.07.03.2007,,,,,,7 Hepang,,
53.07.03.2008,,,,,,8 Baopaat,,
53.07.03.2009,,,,,,9 Du,,
53.07.04,,,,4Nita,-,15,,
53.07.04.2001,,,,,,1 Nita,,
53.07.04.2002,,,,,,2 Takaplager,,
53.07.04.2003,,,,,,3 Tebuk,,
53.07.04.2004,,,,,,4 Ladogahar,,
53.07.04.2005,,,,,,5 Nitakloang,,
53.07.04.2006,,,,,,6 Wuliwutik,,
53.07.04.2007,,,,,,7 Lusitada,,
53.07.04.2008,,,,,,8 Bloro,,
53.07.04.2009,,,,,,9 Riit,,
53.07.04.2010,,,,,,10 Tilang,,
53.07.04.2011,,,,,,11 Nirangkliung,,
,,,,,,Kolisia,,"Menjadi wil. Kec. Magepanda, Perda No. 3/2005"
,,,,,,Magepanda,,"Menjadi wil. Kec. Magepanda, Perda No. 3/2005"
,,,,,,Reroja,,"Menjadi wil. Kec. Magepanda, Perda No. 3/2005"
,,,,,,Kolisia B,,"Menjadi wil. Kec. Magepanda, Perda No. 3/2005"
,,,,,,Done,,"Menjadi wil. Kec. Magepanda, Perda No. 3/2005"
,,,,,,,,
