K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
51.02.06.2001,,,,,,1 Bengkel,,
51.02.06.2002,,,,,,2 Pangkung Tibah,,
51.02.06.2003,,,,,,3 Belalang,,
51.02.06.2004,,,,,,4 Beraban,,
51.02.06.2005,,,,,,5 Buwit,,
51.02.06.2006,,,,,,6 Cepaka,,
51.02.06.2007,,,,,,7 Kaba-kaba,,
51.02.06.2008,,,,,,8 Nyambu,,
51.02.06.2009,,,,,,9 Pandak Bandung,,
51.02.06.2010,,,,,,10 Pandak Gede,,
51.02.06.2011,,,,,,11 Nyitdah,,
51.02.06.2012,,,,,,12 Pejaten,,
51.02.06.2013,,,,,,13 Kediri,,
51.02.06.2014,,,,,,14 Abian Tuwung,,
51.02.06.2015,,,,,,15 Banjar Anyar,,
51.02.07,,,,7Marga,-,16,,
51.02.07.2001,,,,,,1 Kukuh,,
51.02.07.2002,,,,,,2 Beringkit Belayu,,"Perbaikan Nama dari Beringkit menjadi Beringkit Belayu sesuai Kep
Bup. Tabanan No. 99 Tahun 2013, Surat Kepala DPMD Kab. Tabanan
No. 414.4/101/DPMD tanggal 18 Januari 2021, Surat Sesditjen Bina
Pemerintahan Desa No. 145/2430/BPD tanggal 24 Mei 2021."
51.02.07.2003,,,,,,3 Peken Belayu,,"Perbaikan Nama dari Peken menjadi Peken Belayu sesuai Kep Bup.
Tabanan No. 99 Tahun 2013, Kep Bup. Tabanan No. 39 Tahun 2007,
Surat Kepala DPMD Kab. Tabanan No. 414.4/101/DPMD tanggal 18
Januari 2021, Surat Sesditjen Bina Pemerintahan Desa No.
145/2430/BPD tanggal 24 Mei 2021."
51.02.07.2004,,,,,,4 Batannyuh,,
51.02.07.2005,,,,,,5 Tegaljadi,,
51.02.07.2006,,,,,,6 Kuwum,,
51.02.07.2007,,,,,,7 Selanbawak,,
51.02.07.2008,,,,,,8 Marga,,
51.02.07.2009,,,,,,9 Petiga,,
51.02.07.2010,,,,,,10 Cau Belayu,,
51.02.07.2011,,,,,,11 Tua,,
51.02.07.2012,,,,,,12 Payangan,,
51.02.07.2013,,,,,,13 Marga Dajan Puri,,
51.02.07.2014,,,,,,14 Marga Dauh Puri,,
51.02.07.2015,,,,,,15 Geluntung,,PMD dan Dukcapil
51.02.07.2016,,,,,,16 Baru,,Pemekaran desa Tua Perda No. 1/2014
51.02.08,,,,8Penebel,-,18,,
51.02.08.2001,,,,,,1 Rejasa,,
,,,,,,,,
