K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
12,SUMATERA UTARA,,,,,,,
12.02,KAB. TAPANULI UTARA,,,15,11,241,"3.895,604","Luas Wilayah Definitif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
12.02.01,,,,1Tarutung,7,24,,
12.02.01.1001,,,,,1Partoli Toruan,,,
12.02.01.1002,,,,,2Hutatoruan V,,,
12.02.01.1003,,,,,3Hutatoruan VI,,,
12.02.01.1004,,,,,4Hutatoruan VII,,,
12.02.01.1005,,,,,5Hutatoruan IX,,,
12.02.01.1006,,,,,6Hutatoruan X,,,
12.02.01.1007,,,,,7Hutatoruan XI,,,
12.02.01.2008,,,,,,1 Parbubu I,,
12.02.01.2009,,,,,,2 Parbubu II,,
12.02.01.2010,,,,,,3 Hutapea Banuarea,,
12.02.01.2011,,,,,,4 Siandor-andor,,
12.02.01.2012,,,,,,5 Hutauruk,,
12.02.01.2013,,,,,,6 Hapoltahan,,
12.02.01.2014,,,,,,7 Parbubu Dolok,,
12.02.01.2015,,,,,,8 Aek Siansimun,,
12.02.01.2016,,,,,,9 Htgalung Siwaluompo,,
12.02.01.2017,,,,,,10 Parbubu Pea,,
12.02.01.2018,,,,,,11 Hutatoruan IV,,
12.02.01.2019,,,,,,12 Sosunggulon,,
12.02.01.2020,,,,,,13 Hutatoruan VIII,,
12.02.01.2021,,,,,,14 Simamora,,
12.02.01.2022,,,,,,15 Parbaju Toruan,,
12.02.01.2023,,,,,,16 Parbaju Julu,,
12.02.01.2024,,,,,,17 Parbaju Tonga,,
12.02.01.2025,,,,,,18 Sitampurung,,
12.02.01.2026,,,,,,19 Siraja Oloan,,
12.02.01.2027,,,,,,20 Jambur Nauli,,
12.02.01.2028,,,,,,21 Sihujur,,
12.02.01.2029,,,,,,22 Partali Julu,,
12.02.01.2030,,,,,,23 Hutatoruan I,,
12.02.01.2031,,,,,,24 Hutatoruan III,,Perda No. 26/2006
12.02.02,,,,2Siatas Barita,-,12,,
12.02.02.2001,,,,,,1 Siraja Hutagalung,,
12.02.02.2002,,,,,,2 Pansur Napitu,,
,,,,,,,,
