NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,15.08.12,12 Bungo Dani,,,,,2,3,,,Perda No.9/2005
,15.08.13,13 Rimbo Tengah,,,,,2,2,,,Perda No.9/2005
,15.08.14,14 Bathin III Ulu,,,,,,9,,,Perda No.10/2005
,15.08.15,15 Bathin II Pelayang,,,,,,5,,,Perda No.11/2005
,15.08.16,16 Jujuhan Ilir,,,,,,7,,,Perda No.12/2005
,15.08.17,17 Tanah Sepenggal Lintas,,,,,,12,,,Perda No.13/2005
,15.09,9 KAB. TEBO,Muara Tebo,,,12,7,122,6.104,350.234,"Luas Wilayah Definitif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,15.09.01,1 Tebo Tengah,,,,,2,11,,,
,15.09.02,2 Tebo Ilir,,,,,1,11,,,
,15.09.03,3 Tebo Ulu,,,,,1,16,,,
,15.09.04,4 Rimbo Bujang,,,,,3,13,,,
,15.09.05,5 Sumay,,,,,,12,,,
,15.09.06,6 VII Koto,,,,,,10,,,
,15.09.07,7 Rimbo Ulu,,,,,,12,,,
,15.09.08,8 Rimbo Ilir,,,,,,10,,,
,15.09.09,9 Tengah Ilir,,,,,,6,,,
,15.09.10,10 Serai Serumpun,,,,,,8,,,Perda No.17 / 2004
,15.09.11,11 VII Koto Ilir,,,,,,6,,,Perda No.17 / 2004
,15.09.12,12 Muara Tabir,,,,,,8,,,Perda No.17 / 2004
,15.71,10 KOTA JAMBI,Jambi,,,11,68,0,170,622.014,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,15.71.01,1 Telanaipura,,,,,7,,,,
,15.71.02,2 Jambi Selatan,,,,,5,,,,
,15.71.03,3 Jambi Timur,,,,,9,,,,
,15.71.04,4 Pasar Jambi,,,,,4,,,,
,15.71.05,5 Pelayangan,,,,,6,,,,
,15.71.06,6 Danau Teluk,,,,,5,,,,
,15.71.07,7 Kota Baru,,,,,7,,,,
,15.71.08,8 Jelutung,,,,,7,,,,
,15.71.09,9 Alam Barajo,,,,,7,,,,"Pemekaran sebagian wil Kec Kota Baru, Perda No. 13/2014"
,15.71.10,10 Danau Sipin,,,,,5,,,,"Pemekaran sebagian wil Kec Telanaipura, Perda No. 13/2014"
,15.71.11,11 Paal Merah,,,,,6,,,,"Pemekaran sebagian wil Kec Jambi Selatan dan Jambi Timur, Perda No."
