NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
,52,NUSA TENGGARA BARAT,2,
1,52.01,KAB. LOMBOK BARAT,126,
2,52.02,KAB. LOMBOK TENGAH,25,
3,52.03,KAB. LOMBOK TIMUR,44,
4,52.04,KAB. SUMBAWA,65,
5,52.05,KAB. DOMPU,23,
6,52.06,KAB. BIMA,98,
7,52.07,KAB. SUMBAWA BARAT,17,
8,52.08,KAB. LOMBOK UTARA,3,
,,TOTAL,403,
