NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,91.10.01,1 Sarmi,,,,,2,9,,,
,91.10.02,2 Tor Atas,,,,,,10,,,
,91.10.03,3 Pantai Barat,,,,,,16,,,
,91.10.04,4 Pantai Timur,,,,,,7,,,
,91.10.05,5 Bonggo,,,,,,10,,,
,91.10.09,6 Apawer Hulu,,,,,,10,,,Perda No. 4/2005
,91.10.12,7 Sarmi Selatan,,,,,,6,,,Perda No. 6/2006
,91.10.13,8 Sarmi Timur,,,,,,8,,,Perda No. 6/2006
,91.10.14,9 Pantai Timur Bagian Barat,,,,,,11,,,Perda No. 6/2006
,91.10.15,10 Bonggo Timur,,,,,,5,,,Perda No. 6/2006
,91.11,11 KAB. KEEROM,Waris,,,11,0,91,9.526,65.377,"Luas Wilayah Indikatif, PBW, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,91.11.01,1 Waris,,,,,,8,,,
,91.11.02,2 Arso,,,,,,12,,,
,91.11.03,3 Senggi,,,,,,7,,,
,91.11.04,4 Web,,,,,,6,,,
,91.11.05,5 Skanto,,,,,,12,,,
,91.11.06,6 Arso Timur,,,,,,9,,,Pemekaran Kec. Perda No. 7/2008
,91.11.07,7 Towe,,,,,,10,,,Pemekaran Kec. Perda No. 7/2008
,91.11.08,8 Arso Barat,,,,,,8,,,Pemekaran wil Kec Arso Perda No 7/2014
,91.11.09,9 Mannem,,,,,,7,,,Pemekaran wil Kec Arso Timur dan Kec Arso Perda No 7/2014
,91.11.10,10 Yaffi,,,,,,7,,,Pemekaran wil Kec Senggi dan Kec Web Perda No 7/2014
,91.11.11,11 Kaisenar,,,,,,5,,,Pemekaran wil Kec Senggi Perda No 7/2014
,91.12,12 KAB PEGUNUNGAN BINTANG,Oksibil,,,,,,,,"Luas Wilayah Indikatif sesuai Surat Badan Informasi Geospasial No.
B-11.2/PBW-BIG/IGD.04.04/6/2021 Tanggal 11 Juni 2021"
,,Aboy,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Alemsom,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Awinbon,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Batani,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Pamek,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
