K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
,,,,,,Wamminda,,
,,,,,,Umpug,,
,,,,,,Handuk,,
,,,,,,Ninsimoi,,
,,,,,,Siyau,,
,,,,,,Indondey,,
,,,,,,Mingre,,
,,,,,,Aywou,,
,,,,,,Minyeimemud,,Menjadi wil. Kec. Hink
,,,,,,Ndabouw,,Menjadi wil. Kec. Catubouw
,,,,,,Ijigreg,,Menjadi wil. Kec. Catubouw
,,,,,,Ngimoubri,,Menjadi wil. Kec. Hink
,,,,,,Anggra,,
,,,,,,Inggramhim,,
,,,,,,Mbingma,,
,,,,,,Nimbiau,,
,,,,,,Iman Drigo,,Menjadi wil. Kec. Catubouw
,,,,,,Apul,,
,,,,,,Bigwaimud,,Menjadi wil. Kec. Catubouw
,,,,,,Asarbei,,
,,,,,,Mihij,,Menjadi wil. Kec. Catubouw
,,,,,,Memangker,,
,,,,,,Disira,,Menjadi wil. Kec. Didohu
,,,,,,Mainda,,
,,,,,,Idemai,,Menjadi wil. Kec. Catubouw
,,,,,,Injuar,,
,,,,,,Meksi,,Menjadi wil. Kec. Testega
,,,,,,Imbrekti,,
,,,,,,Sopnyai,,Menjadi wil. Kec. Hink
,,,,,,Mihou,,Menjadi wil. Kec. Catubouw
,,,,,,Mindemes,,Menjadi wil. Kec. Dataran Isim
,,,,,,Aiga,,Menjadi wil. Kec. Catubouw
,,,,,,Guwei Uti,,Menjadi wil. Kec. Hink
,,,,,,Punggung,,Menjadi wil. Kec. Hink
,,,,,,Aryon,,Menjadi wil. Kec. Hink
,,,,,,Minogbei,,
,,,,,,Andang,,
,,,,,,Bahamyenti,,
,,,,,,Ntap,,Menjadi wil. Kec. Hink
,,,,,,Soudin,,Menjadi wil. Kec. Catubouw
,,,,,,,,
