NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,63.05.01,1 Binuang,,,,,3,8,,,
,63.05.02,2 Tapin Selatan,,,,,1,10,,,
,63.05.03,3 Tapin Tengah,,,,,,17,,,
,63.05.04,4 Tapin Utara,,,,,4,12,,,
,63.05.05,5 Candi Laras Selatan,,,,,,12,,,
,63.05.06,6 Candi Laras Utara,,,,,,13,,,
,63.05.07,7 Bakarangan,,,,,,12,,,
,63.05.08,8 Piani,,,,,,8,,,
,63.05.09,9 Bungur,,,,,,12,,,
,63.05.10,10 Lokpaikat,,,,,1,8,,,
,63.05.11,11 Salam Babaris,,,,,,6,,,Perda No. 9/2004
,63.05.12,12 Hatungun,,,,,,8,,,Perda No. 9/2004
,63.06,6 KAB. HULU SUNGAI SELATAN,Kandangan,,,11,4,144,1.697,233.835,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,63.06.01,1 Sungai Raya,,,,,,18,,,
,63.06.02,2 Padang Batung,,,,,,17,,,
,63.06.03,3 Telaga Langsat,,,,,,11,,,
,63.06.04,4 Angkinang,,,,,,11,,,
,63.06.05,5 Kandangan,,,,,4,14,,,
,63.06.06,6 Simpur,,,,,,11,,,
,63.06.07,7 Daha Selatan,,,,,,16,,,
,63.06.08,8 Daha Utara,,,,,,19,,,
,63.06.09,9 Kalumpang,,,,,,9,,,
,63.06.10,10 Loksado,,,,,,11,,,
,63.06.11,11 Daha Barat,,,,,,7,,,Perda No.13 /2006
,63.07,7 KAB. HULU SUNGAI TENGAH,Berabai,,,11,8,161,1.574,263.623,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,63.07.01,1 Haruyan,,,,,,17,,,
,63.07.02,2 Batu Benawa,,,,,,14,,,
,63.07.03,3 Labuan Amas Selatan,,,,,1,17,,,
,63.07.04,4 Labuan Amas Utara,,,,,,16,,,
,63.07.05,5 Pandawan,,,,,,21,,,
,63.07.06,6 Barabai,,,,,6,12,,,
,63.07.07,7 Batang Alai Selatan,,,,,1,18,,,
,63.07.08,8 Batang Alai Utara,,,,,,14,,,
