Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
61.03.40005,Pulau Tayan,,"00°02'26.99"" S 110°06'36.00"" T",BP
61.04,KAB. KETAPANG,60,,
61.04.40001,Pulau Ale-Ale,,"01°46'12.60"" S 109°56'07.38"" T",
61.04.40002,Pulau Ara,,"03°00'07.42"" S 110°17'49.15"" T",
61.04.40003,Pulau Bakau,,"02°59'48.99"" S 110°18'25.99"" T",TBP
61.04.40004,Pulau Batu Titi Barat,,"03°00'27.69"" S 110°18'10.15"" T",
61.04.40005,Pulau Batu Titi Selatan,,"03°00'27.41"" S 110°18'13.03"" T",
61.04.40006,Pulau Batu Titi Tengah,,"03°00'18.54"" S 110°18'13.46"" T",
61.04.40007,Pulau Batu Titi Timur,,"03°00'19.41"" S 110°18'16.40"" T",
61.04.40008,Pulau Batu Titi Utara,,"03°00'15.91"" S 110°18'10.41"" T",
61.04.40009,Pulau Bawal,,"02°43'10.99"" S 110°05'48.00"" T",BP
61.04.40010,Pulau Bintangtimur,,"02°59'49.99"" S 110°18'20.99"" T",TBP
61.04.40011,Pulau Bondong,,"01°49'16.20"" S 109°55'13.45"" T",
61.04.40012,Pulau Butun,,"02°59'46.16"" S 110°18'21.35"" T",
61.04.40013,Pulau Cebe,,"02°10'05.00"" S 110°04'45.99"" T",TBP
61.04.40014,Pulau Cempedak Dua,,"02°37'54.00"" S 110°07'22.00"" T",TBP
61.04.40015,Pulau Cempedak Satu,,"01°26'03.99"" S 110°03'01.00"" T",TBP
61.04.40016,Pulau Condong,,"03°00'30.17"" S 110°18'22.83"" T",
61.04.40017,Pulau Dua Pemeluk,,"03°00'16.70"" S 110°18'05.82"" T",
61.04.40018,Pulau Gambar,,"02°53'39.00"" S 110°05'34.00"" T",TBP
61.04.40019,Pulau Gelam,,"02°53'08.00"" S 110°10'14.99"" T",TBP
61.04.40020,Pulau Iras,,"02°37'57.00"" S 110°09'06.00"" T",TBP
61.04.40021,Pulau Jambat Besar,,"02°30'15.60"" S 110°10'43.13"" T",TBP
61.04.40022,Pulau Jambat Kecil,,"02°30'08.12"" S 110°10'45.69"" T",TBP
61.04.40023,Pulau Jepun,,"01°49'43.99"" S 109°55'14.45"" T",
61.04.40024,Pulau Kelapa,,"03°00'22.14"" S 110°18'15.99"" T",TBP
61.04.40025,Pulau Kerengga,,"01°26'26.00"" S 110°02'57.99"" T",TBP
61.04.40026,Pulau Ketapang Kecik,,"01°49'53.20"" S 109°56'36.24"" T",
61.04.40027,Pulau Koca,,"02°35'52.52"" S 110°10'23.01"" T",TBP
61.04.40028,Pulau Kucing,,"02°28'53.69"" S 110°10'51.03"" T",TBP
61.04.40029,Pulau Lagan,,"02°40'11.92"" S 110°05'55.69"" T",TBP
61.04.40030,Pulau Langau,,"02°52'43.00"" S 110°05'26.00"" T",TBP
61.04.40031,Pulau Langir,,"02°40'14.99"" S 110°07'09.99"" T",TBP
61.04.40032,Pulau Lukutkera,,"02°45'37.00"" S 110°11'34.00"" T",TBP
61.04.40033,Pulau Malangnek,,"02°37'27.00"" S 110°07'58.00"" T",TBP
61.04.40034,Pulau Malangpinggan,,"02°40'12.00"" S 110°04'59.00"" T",TBP
61.04.40035,Pulau Mangkup,,"03°03'56.99"" S 110°12'13.00"" T",TBP
61.04.40036,Pulau Manjin,,"02°53'30.00"" S 110°05'31.99"" T",TBP
61.04.40037,Pulau Mengkudu,,"02°15'18.00"" S 109°59'25.00"" T",TBP
61.04.40038,Pulau Mensikur,,"02°50'34.51"" S 110°04'44.56"" T",TBP
