K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
16.04.07.2014,,,,,,14 Suka Raja,,
16.04.07.2015,,,,,,15 Gedung Agung,,
16.04.07.2016,,,,,,16 Kota Agung,,
16.04.07.2017,,,,,,17 Lawang Agung,,
16.04.07.2018,,,,,,18 Sukarami,,
16.04.07.2019,,,,,,19 Tanjung Beringin,,
16.04.07.2020,,,,,,20 Pagaruyung,,
,,,,,,Tanjung Baru,,"Menjadi wil. Kec. Tanjung Tebat, Perda No. 23/2008"
,,,,,,Tanjung Kurung Ilir,,"Menjadi wil. Kec. Tanjung Tebat, Perda No. 23/2008"
,,,,,,Tanjung Kurung Ulu,,"Menjadi wil. Kec. Tanjung Tebat, Perda No. 23/2008"
,,,,,,Air Dingin Lama,,"Menjadi wil. Kec. Tanjung Tebat, Perda No. 23/2008"
,,,,,,Air Dingin Baru,,"Menjadi wil. Kec. Tanjung Tebat, Perda No. 23/2008"
,,,,,,Tanjung Nibung,,"Menjadi wil. Kec. Tanjung Tebat, Perda No. 23/2008"
,,,,,,Tanjung Bai,,"Menjadi wil. Kec. Tanjung Tebat, Perda No. 23/2008"
,,,,,,TanjungTebat,,"Menjadi wil. Kec. Tanjung Tebat, Perda No. 23/2008"
,,,,,,Pandan Arang Ilir,,"Menjadi wil. Kec. Tanjung Tebat, Perda No. 23/2008"
,,,,,,Padang Perigi,,"Menjadi wil. Kec. Tanjung Tebat, Perda No. 23/2008"
16.04.07.2031,,,,,,21 Muara Gula,,
16.04.07.2032,,,,,,22 Tanjung Bulan,,
16.04.08,,,,4Pulaupinang,-,10,,Perda No. 20/2008 perub. atas Perda No. 8/2006
,,,,,,Rindu Hati,,"Menjadi wil. Kec. Gumay Ulu, Perda No. 19/2008"
,,,,,,Sinjar Bulan,,"Menjadi wil. Kec. Gumay Ulu, Perda No. 19/2008"
,,,,,,Padang Gumay,,"Menjadi wil. Kec. Gumay Ulu, Perda No. 19/2008"
,,,,,,Tanjung Aur,,"Menjadi wil. Kec. Gumay Ulu, Perda No. 19/2008"
,,,,,,Tinggi Hari,,"Menjadi wil. Kec. Gumay Ulu, Perda No. 19/2008"
,,,,,,Tanjung Raja,,"Menjadi wil. Kec. Gumay Ulu, Perda No. 19/2008"
,,,,,,Simpur,,"Menjadi wil. Kec. Gumay Ulu, Perda No. 19/2008"
16.04.08.2008,,,,,,1 Tanjung Mulak,,
16.04.08.2009,,,,,,2 Pulau Pinang,,
16.04.08.2010,,,,,,3 Tanjung Sirih,,
16.04.08.2011,,,,,,4 Lubuk Sepang,,
16.04.08.2012,,,,,,5 Karang Dalam,,
16.04.08.2013,,,,,,6 Kuba,,
16.04.08.2014,,,,,,7 Jati,,
,,,,,,Padang Pagun,,Menjadi wil Kec Pagar Gunung Perda No. 8/2006
16.04.08.2016,,,,,,8 Pagar Batu,,
16.04.08.2017,,,,,,9 Muara Siban,,
16.04.08.2018,,,,,,10 Perigi,,
,,,,,,Kerung,,"Menjadi wil Kec.Lahat Selatan, Perda No.4/2017"
,,,,,,Muara Cawang,,"Menjadi wil Kec.Lahat Selatan, Perda No.4/2017"
,,,,,,,,
