NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,71.71.06,6 Sario,,,,,7,,,,
,71.71.07,7 Wanea,,,,,9,,,,
,71.71.08,8 Mapanget,,,,,10,,,,
,71.71.09,9 Malalayang,,,,,9,,,,
,71.71.10,10 Bunaken Kepulauan,,,,,4,,,,Pemekaran Kec. Bunaken Perda No. 2/2012
,71.71.11,11 Paal Dua,,,,,7,,,,Pemekaran Kec. Tikala Perda No. 2/2012
,71.72,13 KOTA BITUNG,Bitung,,,8,69,0,330,227.222,"Luas Wilayah Definitif, PGGB, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,71.72.01,1 Lembeh Selatan,,,,,7,,,,"Perubahan nama dari Kec. Bitung Selatan, Perda No. 3/2007"
,71.72.02,2 Madidir,,,,,8,,,,"Perubahan nama dari Kec. Bitung Tengah, Perda No. 3/2007"
,71.72.03,3 Ranowulu,,,,,11,,,,"Perubahan nama dari Kec. Bitung Utara, Perda No. 3/2007"
,71.72.04,4 Aertembaga,,,,,10,,,,"Perubahan nama dari Kec. Bitung Timur, Perda No. 3/2007"
,71.72.05,5 Matuari,,,,,8,,,,"Perubahan nama dari Kec. Bitung Barat, Perda No. 3/2007"
,71.72.06,6 Girian,,,,,7,,,,Perda No. 3/2007
,71.72.07,7 Maesa,,,,,8,,,,Perda No. 3/2007
,71.72.08,8 Lembeh Utara,,,,,10,,,,Perda No. 3/2007
,71.73,14 KOTA TOMOHON,Tomohon,,,5,44,0,169,101.221,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,71.73.01,1 Tomohon Selatan,,,,,12,,,,
,71.73.02,2 Tomohon Tengah,,,,,9,,,,
,71.73.03,3 Tomohon Utara,,,,,10,,,,
,71.73.04,4 Tomohon Barat,,,,,8,,,,Perda No. 1/2004
,71.73.05,5 Tomohon Timur,,,,,5,,,,Perda No. 1/2004
,71.74,15 KOTA KOTAMOBAGU,Kotamobagu,,,4,18,15,109,123.146,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,71.74.01,1 Kotamobagu Utara,,,,,3,5,,,Semula wil. Kab. Bolaang Mongondow
,71.74.02,2 Kotamobagu Timur,,,,,6,4,,,Semula wil. Kab. Bolaang Mongondow
,71.74.03,3 Kotamobagu Selatan,,,,,3,6,,,Semula wil. Kab. Bolaang Mongondow
,71.74.04,4 Kotamobagu Barat,,,,,6,,,,Semula wil. Kab. Bolaang Mongondow
