K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
18.07.22.2005,,,,,,5 Braja Kencana,,
18.07.22.2006,,,,,,6 Braja Luhur,,
18.07.22.2007,,,,,,7 Braja Mulya,,Perda No. 20/2007
18.07.23,,,,23Way Bungur,-,8,,
18.07.23.2001,,,,,,1 Tambah Subur,,
18.07.23.2002,,,,,,2 Tanjung Qencono,,"Koreksi nama, ND Rekom No 140/4495/BPD tanggal 29 Juni 2016"
18.07.23.2003,,,,,,3 Tanjung Tirto,,
18.07.23.2004,,,,,,4 Toto Mulyo,,
18.07.23.2005,,,,,,5 Toto Projo,,
18.07.23.2006,,,,,,6 Taman Negeri,,
18.07.23.2007,,,,,,7 Tegal Ombo,,
18.07.23.2008,,,,,,8 Kali Pasir,,
18.07.24,,,,24Marga Sekampung,-,8,,Perda No. 5/2005
18.07.24.2001,,,,,,1 Bungkuk,,Semula wil. Kec. Jabung
18.07.24.2002,,,,,,2 Batu Badak,,Semula wil. Kec. Jabung
18.07.24.2003,,,,,,3 Peniangan,,Semula wil. Kec. Jabung
18.07.24.2004,,,,,,4 Gunung Raya,,Semula wil. Kec. Jabung
18.07.24.2005,,,,,,5 Giri Mulyo,,Semula wil. Kec. Jabung
18.07.24.2006,,,,,,6 Gunung Mas,,Semula wil. Kec. Jabung
18.07.24.2007,,,,,,7 Purwosari,,
18.07.24.2008,,,,,,8 Bukit Raya,,
