NO,KODE,"N A M A
KABUPATEN / KOTA",J U M L A H,,,"LUAS
WILAYAH
(Km2)*","JUMLAH
PENDUDUK
(Jiwa)**",K E T E R A N G A N
,,,KEC,KEL,DESA,,,
"19
20
21
22
23","11.71
11.72
11.73
11.74
11.75","KOTA BANDA ACEH
KOTA SABANG
KOTA LHOKSEUMAWE
KOTA LANGSA
KOTA SUBULUSSALAM","9
3
4
5
5","0
0
0
0
0","90
18
68
66
82","56,770
122,063
132,966
224,235
1.183,601","254.024
42.867
191.688
186.075
96.296","Luas Wilayah Definitif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Definitif, PGP sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
(tidak ada batas darat dengan kab/kota lainnya).
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
UU No.8/2007.
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,,JUMLAH,290,0,6.500,"56.834,746",5.379.937,
