NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,33.27.09,9 Taman,,,,,2,19,,,
,33.27.10,10 Petarukan,,,,,1,19,,,
,33.27.11,11 Ampelgading,,,,,,16,,,
,33.27.12,12 Comal,,,,,1,17,,,
,33.27.13,13 Ulujami,,,,,,18,,,
,33.27.14,14 Warungpring,,,,,,6,,,
,33.28,28 KAB. TEGAL,Slawi,,,18,6,281,984,1.679.267,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,33.28.01,1 Margasari,,,,,,13,,,
,33.28.02,2 Bumijawa,,,,,,18,,,
,33.28.03,3 Bojong,,,,,,17,,,
,33.28.04,4 Balapulang,,,,,,20,,,
,33.28.05,5 Pagerbarang,,,,,,13,,,
,33.28.06,6 Lebaksiu,,,,,,15,,,
,33.28.07,7 Jatinegara,,,,,,17,,,
,33.28.08,8 Kedungbanteng,,,,,,10,,,
,33.28.09,9 Pangkah,,,,,,23,,,
,33.28.10,10 Slawi,,,,,5,5,,,
,33.28.11,11 Adiwerna,,,,,,21,,,
,33.28.12,12 Talang,,,,,,19,,,
,33.28.13,13 Dukuhturi,,,,,,18,,,
,33.28.14,14 Tarub,,,,,,20,,,
,33.28.15,15 Kramat,,,,,1,19,,,
,33.28.16,16 Suradadi,,,,,,11,,,
,33.28.17,17 Warureja,,,,,,12,,,
,33.28.18,18 Dukuhwaru,,,,,,10,,,
,33.29,29 KAB. BREBES,Brebes,,,17,5,292,1.743,2.019.255,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,33.29.01,1 Salem,,,,,,21,,,
,33.29.02,2 Bantarkawung,,,,,,18,,,
,33.29.03,3 Bumiayu,,,,,,15,,,
,33.29.04,4 Paguyangan,,,,,,12,,,
,33.29.05,5 Sirampog,,,,,,13,,,
,33.29.06,6 Tonjong,,,,,,14,,,
,33.29.07,7 Jatibarang,,,,,,22,,,
