NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,31.73.05,5 Kebon Jeruk,,,,,7,,,,
,31.73.06,6 Kalideres,,,,,5,,,,
,31.73.07,7 Pal Merah,,,,,6,,,,
,31.73.08,8 Kembangan,,,,,6,,,,
,31.74,"5 KOTA ADM. JAKARTA
SELATAN",Kebayoran Baru,,,10,65,0,145,2.384.183,"UU No. 29/2007
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,31.74.01,1 Tebet,,,,,7,,,,
,31.74.02,2 Setiabudi,,,,,8,,,,
,31.74.03,3 Mampang Prapatan,,,,,5,,,,
,31.74.04,4 Pasar Minggu,,,,,7,,,,
,31.74.05,5 Kebayoran Lama,,,,,6,,,,
,31.74.06,6 Cilandak,,,,,5,,,,
,31.74.07,7 Kebayoran Baru,,,,,10,,,,
,31.74.08,8 Pancoran,,,,,6,,,,
,31.74.09,9 Jagakarsa,,,,,6,,,,
,31.74.10,10 Pesanggrahan,,,,,5,,,,
,31.75,6 KOTA ADM. JAKARTA TIMUR,Cakung,,,10,65,0,186,3.274.716,"UU No. 29/2007
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,31.75.01,1 Matraman,,,,,6,,,,
,31.75.02,2 Pulogadung,,,,,7,,,,
,31.75.03,3 Jatinegara,,,,,8,,,,
,31.75.04,4 Kramatjati,,,,,7,,,,
,31.75.05,5 Pasar Rebo,,,,,5,,,,
,31.75.06,6 Cakung,,,,,7,,,,
,31.75.07,7 Duren Sawit,,,,,7,,,,
,31.75.08,8 Makasar,,,,,5,,,,
,31.75.09,9 Ciracas,,,,,5,,,,
,31.75.10,10 Cipayung,,,,,8,,,,
