K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
61.09.04.2011,,,,,,11 Karang Betung,,
61.09.04.2012,,,,,,12 Tamang,,"Pemekaran sebagian wil Desa Cenayan, Perda No. 8/2011"
61.09.04.2013,,,,,,13 Tembesuk,,"Pemekaran sebagian wil Desa Karang Betung, Perda No. 8/2011"
61.09.05,,,,5Belitang Hilir,-,11,,
61.09.05.2001,,,,,,1 Sungai Ayak Satu,,"Perbaikan nama sesuai Srt Ditjen Pemdes No.145/1820/SET tgl 15 Nov
2018 hal penyampaian hasil validasi"
61.09.05.2002,,,,,,2 Sungai Ayak Dua,,"Perbaikan nama sesuai Srt Ditjen Pemdes No.145/1820/SET tgl 15 Nov
2018 hal penyampaian hasil validasi"
61.09.05.2003,,,,,,3 Entabuk,,
61.09.05.2004,,,,,,4 Tapang Pulau,,
61.09.05.2005,,,,,,5 Kumpang Bis,,
61.09.05.2006,,,,,,6 Menawai Tekam,,
61.09.05.2007,,,,,,7 Semadu,,
61.09.05.2008,,,,,,8 Merbang,,
61.09.05.2009,,,,,,9 Empajak,,"Pemekaran sebagian wil Desa Merbang, Perda No. 8/2011"
61.09.05.2010,,,,,,10 Sepantak,,"Pemekaran sebagian wil. Desa Sungai Ayak Dua, sesuai:
Perda No. 6 Tahun 2021; dan
Surat Dirjen Bina Pemdes No. 145/3066/BPD tgl 15 Juni 2022."
61.09.05.2011,,,,,,11 Melanjan Raya,,"Pemekaran sebagian wil. Desa Tapang Pulau, sesuai:
Perda No. 7 Tahun 2021; dan
Surat Dirjen Bina Pemdes No. 145/3066/BPD tgl 15 Juni 2022."
61.09.06,,,,6Belitang Hulu,-,13,,
61.09.06.2001,,,,,,1 Sebetung,,
61.09.06.2002,,,,,,2 Seburuk Satu,,
61.09.06.2003,,,,,,3 Sungai Tapah,,"Perbaikan nama sesuai Srt Ditjen Pemdes No.145/1820/SET tgl 15 Nov
2018 hal penyampaian hasil validasi"
61.09.06.2004,,,,,,4 Ijuk,,
61.09.06.2005,,,,,,5 Mengaret,,
61.09.06.2006,,,,,,6 Kumpang Ilong,,
61.09.06.2007,,,,,,7 Sungai Antu Hulu,,"Perbaikan nama sesuai Srt Ditjen Pemdes No.145/1820/SET tgl 15 Nov
2018 hal penyampaian hasil validasi"
61.09.06.2008,,,,,,8 Terduk Dampak,,
61.09.06.2009,,,,,,9 Pakit Mulau,,
61.09.06.2010,,,,,,10 Tabuk Hulu,,
61.09.06.2011,,,,,,11 Batuk Mulau,,
61.09.06.2012,,,,,,12 Balai Sepuak,,
61.09.06.2013,,,,,,13 Bukit Rambat,,"Pemekaran sebagian wil Desa Mengaret, Perda No. 8/2011, Perbaikan
nama sesuai Srt Ditjen Pemdes No.145/1820/SET tgl 15 Nov 2018 hal
penyampaian hasil validasi"
61.09.07,,,,7Belitang,-,7,,
61.09.07.2001,,,,,,1 Nanga Ansar,,
61.09.07.2002,,,,,,2 Padak,,
61.09.07.2003,,,,,,3 Setuntung,,
,,,,,,,,
