NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,92.02,2 KAB. MANOKWARI,Manokwari,,,9,9,164,2.763,200.785,"Luas Wilayah Indikatif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,92.02.03,1 Warmare,,,,,,31,,,
,92.02.04,2 Prafi,,,,,,16,,,
,92.02.05,3 Masni,,,,,,33,,,
,92.02.12,4 Manokwari Barat,,,,,6,4,,,
,92.02.13,5 Manokwari Timur,,,,,1,6,,,
,92.02.14,6 Manokwari Utara,,,,,,22,,,
,92.02.15,7 Manokwari Selatan,,,,,2,16,,,
,92.02.17,8 Tanah Rubuh,,,,,,24,,,
,92.02.21,9 Sidey,,,,,,12,,,
,92.03,3 KAB. FAK FAK,Fak Fak,,,17,7,142,9.737,89.319,"Luas Wilayah Indikatif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,92.03.01,1 Fak-Fak,,,,,2,3,,,
,92.03.02,2 Fak-Fak Barat,,,,,,9,,,
,92.03.03,3 Fak-Fak Timur,,,,,,6,,,
,92.03.04,4 Kokas,,,,,1,14,,,
,92.03.05,5 Fak-Fak Tengah,,,,,1,13,,,
,92.03.06,6 Karas,,,,,,7,,,
,92.03.07,7 Bomberay,,,,,,7,,,
,92.03.08,8 Kramongmongga,,,,,,10,,,
,92.03.09,9 Teluk Patipi,,,,,,13,,,
,92.03.10,10 Pariwari,,,,,3,6,,,Pemekaran Kec. Fakfak Perda No. 4/2012
,92.03.11,11 Wartutin,,,,,,6,,,Pemekaran Kec. Fakfak Barat Perda No. 4/2012
,92.03.12,12 Fakfak Timur Tengah,,,,,,10,,,Pemekaran Kec. Fakfak Timur Perda No. 4/2012
,92.03.13,13 Arguni,,,,,,5,,,Pemekaran Kec. Kokas Perda No. 4/2012
,92.03.14,14 Mbahamdandara,,,,,,7,,,Pemekaran Kec. Kokas Perda No. 4/2012
,92.03.15,15 Kayauni,,,,,,9,,,Pemekaran Kec. Kramongmongga Perda No. 4/2012
,92.03.16,16 Furwagi,,,,,,8,,,Pemekaran Kec. Teluk Patipi Perda No. 4/2012
,92.03.17,17 Tomage,,,,,,9,,,Pemekaran Kec. Bomberay Perda No. 4/2012
,92.04,4 KAB. SORONG SELATAN,Teminabuan,,,15,2,120,6.570,51.961,"Luas Wilayah Indikatif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,92.04.01,1 Teminabuan,,,,,2,14,,,
,92.04.04,2 Inanwatan,,,,,,9,,,
,92.04.06,3 Sawiat,,,,,,8,,,
