NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,62.03.04,4 Kapuas Kuala,,,,,,13,,,
,62.03.05,5 Kapuas Barat,,,,,1,11,,,
,62.03.06,6 Pulau Petak,,,,,,12,,,
,62.03.07,7 Kapuas Murung,,,,,2,21,,,
,62.03.08,8 Basarang,,,,,,14,,,
,62.03.09,9 Mantangai,,,,,,38,,,
,62.03.10,10 Timpah,,,,,,9,,,
,62.03.11,11 Kapuas Tengah,,,,,,13,,,
,62.03.12,12 Kapuas Hulu,,,,,,14,,,
,62.03.13,13 Tamban Catur,,,,,,10,,,"Pemekaran sebagian Kec. Kapuas Kuala, Perda No. 8/2012"
,62.03.14,14 Pasak Talawang,,,,,,10,,,"Pemekaran sebagian Kec. Kapuas Tengah, Perda No. 8/2012"
,62.03.15,15 Mandau Talawang,,,,,,10,,,"Pemekaran sebagian Kec. Kapuas Tengah, Perda No. 8/2012"
,62.03.16,16 Dadahup,,,,,,13,,,"Pemekaran sebagian Kec. Kapuas Murung, Perda No. 8/2012"
,62.03.17,17 Bataguh,,,,,1,14,,,"Pemekaran sebagian Kec. Kapuas Selat, Perda No. 8/2012"
,62.04,4 KAB. BARITO SELATAN,Buntok,,,6,7,86,6.267,133.073,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,62.04.01,1 Jenamas,,,,,1,4,,,
,62.04.02,2 Dusun Hilir,,,,,1,9,,,
,62.04.03,3 Karau Kuala,,,,,1,10,,,
,62.04.04,4 Dusun Utara,,,,,1,18,,,
,62.04.05,5 Gn. Bintang Awai,,,,,,21,,,
,62.04.06,6 Dusun Selatan,,,,,3,24,,,
,62.05,5 KAB. BARITO UTARA,Muara Teweh,,,9,10,93,9.985,157.582,"Luas Wilayah Indikatif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,62.05.01,1 Montallat,,,,,4,6,,,
,62.05.02,2 Gunung Timang,,,,,,16,,,
,62.05.03,3 Gunung Purei,,,,,,11,,,
,62.05.04,4 Teweh Timur,,,,,,12,,,
,62.05.05,5 Teweh Tengah,,,,,2,8,,,
,62.05.06,6 Lahei,,,,,2,11,,,
,62.05.07,7 Teweh Baru,,,,,2,8,,,"Pemekaran sebagian wil Kec. Taweh Tengah dan Kec. Taweh Timur,
Perda No. 4/2012"
,62.05.08,8 Teweh Selatan,,,,,,10,,,"Pemekaran sebagian wil Kec. Taweh Tengah, Perda No. 4/2012"
,62.05.09,9 Lahei Barat,,,,,,11,,,"Pemekaran sebagian wil Kec. Lahei, Perda No. 4/2012"
