NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,13.02.12,12 X Koto Diatas,,,,,,9,,,
,13.02.13,13 Junjung Sirih,,,,,,2,,,
,,K. Parik Gd. Diateh,,,,,,,,,"Menjadi wil Kab. Solok Selatan, UU No. 38/2003"
,,Sangir Jujuhan,,,,,,,,,"Menjadi wil Kab. Solok Selatan, UU No. 38/2003"
,,Sangir Batang Hari,,,,,,,,,"Menjadi wil Kab. Solok Selatan, UU No. 38/2003"
,13.02.17,17 Hiliran Gumanti,,,,,,3,,,
,13.02.18,18 Tigo Lurah,,,,,,5,,,
,13.02.19,19 Danau Kembar,,,,,,2,,,
,13.03,3 KAB. SIJUNJUNG,Muaro Sijunjung,,,8,0,62,3.151,240.469,"Perubahan nama Kab. Sawahlunto/Sijunjung PP No. 25/2008.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,,Koto Baru,,,,,,,,,"Menjadi wil Kab. Dharmasraya, UU No. 38/2003"
,,Pulau Punjung,,,,,,,,,"Menjadi wil Kab. Dharmasraya, UU No. 38/2003"
,13.03.03,3 Tanjung Gadang,,,,,,9,,,
,13.03.04,4 Sijunjung,,,,,,9,,,
,13.03.05,5 IV Nagari,,,,,,5,,,
,13.03.06,6 Kamang Baru,,,,,,11,,,
,13.03.07,7 Lubuak Tarok,,,,,,6,,,
,13.03.08,8 Koto VII,,,,,,7,,,
,13.03.09,9 Sumpur Kudus,,,,,,11,,,
,13.03.10,10 Kupitan,,,,,,4,,,
,,Sungai Rumbai,,,,,,,,,"Menjadi wil Kab. Dharmasraya, UU No. 38/2003"
,,Sitiung,,,,,,,,,"Menjadi wil Kab. Dharmasraya, UU No. 38/2003"
,13.04,4 KAB. TANAH DATAR,Batusangkar,,,14,0,75,1.377,375.327,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,13.04.01,1 X Koto,,,,,,9,,,
,13.04.02,2 Batipuh,,,,,,8,,,
,13.04.03,3 Rambatan,,,,,,5,,,
,13.04.04,4 Lima Kaum,,,,,,5,,,
,13.04.05,5 Tanjung Emas,,,,,,4,,,
,13.04.06,6 Lintau Buo,,,,,,4,,,
,13.04.07,7 Sungayang,,,,,,5,,,
,13.04.08,8 Sungai Tarab,,,,,,10,,,
,13.04.09,9 Pariangan,,,,,,6,,,
