NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
II,12,SUMATERA UTARA,,25,8,455,693,5417,72.461,15.305.230,
,12.01,1 KAB. TAPANULI TENGAH,Sibolga,,,20,56,159,2.308,366.361,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,12.01.01,1 Barus,,,,,2,11,,,
,12.01.02,2 Sorkam,,,,,4,17,,,
,12.01.03,3 Pandan,,,,,20,2,,,"Perubahan nama Kec. Sibolga, Perda No. 8/2003."
,12.01.04,4 Pinangsori,,,,,5,5,,,"Perubahan nama Kec. Lumut, Perda No. 8/2003."
,12.01.05,5 Manduamas,,,,,3,17,,,
,12.01.06,6 Kolang,,,,,2,12,,,
,12.01.07,7 Tapian Nauli,,,,,1,8,,,
,12.01.08,8 Sibabangun,,,,,1,6,,,
,12.01.09,9 Sosorgadong,,,,,1,8,,,"Perbaikan nama sesuai BA No. 2826.a/BP/2017 Rapat Penyusunan
dan Validasi Data Wilayah tgl 30 Okt s/d 1 Nov 2017"
,12.01.10,10 Sorkam Barat,,,,,2,10,,,
,12.01.11,11 Sirandorung,,,,,1,7,,,
,12.01.12,12 Andam Dewi,,,,,1,13,,,
,12.01.13,13 Sitahuis,,,,,1,5,,,
,12.01.14,14 Tukka,,,,,5,4,,,
,12.01.15,15 Badiri,,,,,2,7,,,
,12.01.16,16 Pasaribu Tobing,,,,,,9,,,Perda No.8/2007
,12.01.17,17 Barus Utara,,,,,,6,,,Perda No.8/2007
,12.01.18,18 Suka Bangun,,,,,,6,,,Perda No.8/2007
,12.01.19,19 Lumut,,,,,1,5,,,Perda No.8/2007
,12.01.20,20 Sarudik,,,,,4,1,,,Rancangan Perda No. 35/2007
,12.02,2 KAB. TAPANULI UTARA,Tarutung,,,15,11,241,3.896,321.514,"Luas Wilayah Definitif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,12.02.01,1 Tarutung,,,,,7,24,,,
,12.02.02,2 Siatas Barita,,,,,,12,,,
,12.02.03,3 Adian Koting,,,,,,16,,,
,12.02.04,4 Sipoholon,,,,,1,13,,,
,12.02.05,5 Pahae Julu,,,,,1,18,,,
,12.02.06,6 Pahae Jae,,,,,1,12,,,
,12.02.07,7 Simangumban,,,,,,8,,,
